Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,NameExpr,org.jxls.builder.JxlsTemplateFillerBuilder,template,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\JxlsTemplateFillerBuilder.java,82
,FieldAccessExpr,org.jxls.common.CellRef,row,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\common\CellRef.java,163
,MethodCallExpr,org.jxls.common.AreaRef,contains,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\formula\AbstractFormulaProcessor.java,56
,MethodCallExpr,org.jxls.common.CellData,getSheetName,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\xls\XlsCommentAreaBuilder.java,211
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\GridCommand.java,93
,NameExpr,org.jxls.util.OrderByComparator,DESC_IGNORECASE,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\util\OrderByComparator.java,125
,ClassOrInterfaceType,org.jxls.common.CellRef,CellRef,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\EachCommand.java,397
,MethodCallExpr,org.jxls.command.Command,getName,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\area\XlsArea.java,87
,NameExpr,org.jxls.expression.ExpressionEvaluatorNoThreadLocalFactoryJexlImpl,jexlContextFactory,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\ExpressionEvaluatorNoThreadLocalFactoryJexlImpl.java,38
,MethodCallExpr,org.jxls.expression.JexlExpressionEvaluator,getJexlEngine,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\JexlExpressionEvaluator.java,56
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\transform\AbstractTransformer.java,35
,MethodCallExpr,org.jxls.functions.GroupSum,getValue,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\functions\GroupSum.java,105
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\functions\GroupSum.java,58
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.Boolean,TRUE,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\util\OrderByComparator.java,84
,NameExpr,org.jxls.util.OrderByComparator,myProperties,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\util\OrderByComparator.java,60
,MethodCallExpr,org.jxls.builder.xls.XlsCommentAreaBuilder,isCommandString,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\xls\XlsCommentAreaBuilder.java,161
,ClassOrInterfaceType,org.jxls.expression.JxlsJexlPermissions,JxlsJexlPermissions,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\ExpressionEvaluatorFactoryJexlImpl.java,26
,ClassOrInterfaceType,org.jxls.common.CellRef,CellRef,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\transform\AbstractTransformer.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashSet,HashSet,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\transform\AbstractTransformer.java,92
,MethodCallExpr,org.jxls.builder.JxlsOutput,getOutputStream,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\JxlsTemplateFiller.java,42
,ObjectCreationExpr,org.jxls.formula.StandardFormulaProcessor,StandardFormulaProcessor,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\JxlsTemplateFillerBuilder.java,45
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\UpdateCellCommand.java,28
,ClassOrInterfaceType,org.jxls.command.IfCommand,IfCommand,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\xls\XlsCommentAreaBuilder.java,124
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\JxlsJexlPermissions.java,13
,MethodCallExpr,org.jxls.common.CellRef,getCol,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\area\XlsArea.java,475
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\EachCommand.java,407
,FieldAccessExpr,org.jxls.formula.AbstractFormulaProcessor.FormulaProcessorContext,isFormulaCellRefsEmpty,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\formula\FastFormulaProcessor.java,44
,ClassOrInterfaceType,org.jxls.common.CellData,CellData,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\transform\TransformerDelegator.java,69
,NameExpr,org.jxls.expression.ExpressionEvaluatorNoThreadLocalFactoryJexlImpl,jexlContextFactory,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\ExpressionEvaluatorNoThreadLocalFactoryJexlImpl.java,37
,ObjectCreationExpr,org.jxls.common.Size,Size,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\GridCommand.java,153
,NameExpr,org.jxls.command.EachCommand,var,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\EachCommand.java,133
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,get,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\builder\xls\AbstractAreaBuilder.java,55
,ClassOrInterfaceType,org.jxls.common.CellRef,CellRef,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\common\cellshift\AdjacentCellShiftStrategy.java,11
,ClassOrInterfaceType,org.jxls.expression.JexlContextFactory,JexlContextFactory,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\ExpressionEvaluatorNoThreadLocalFactoryJexlImpl.java,47
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.jxls.area.Area,Area,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\command\AbstractCommand.java,30
,NameExpr,org.jxls.common.CellData,targetParentAreaRef,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\common\CellData.java,238
org.apache.commons:commons-jexl3:jar:3.3,ObjectCreationExpr,org.apache.commons.jexl3.MapContext,MapContext,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\expression\JexlExpressionEvaluator.java,21
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\common\CellData.java,230
,NameExpr,org.jxls.util.JxlsNationalLanguageSupport,defaultValueDelimiter,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\util\JxlsNationalLanguageSupport.java,217
,ObjectCreationExpr,org.jxls.common.AreaRef,AreaRef,C:\Users\tyin363\Documents\repos\jxlsteam__jxls\jxls\src\main\java\org\jxls\area\XlsArea.java,51
