Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,DbSchedulerCustomizer,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,96
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerProperties,getSchedulerName,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,150
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.sql.DataSource,DataSource,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,222
org.springframework.boot:spring-boot-actuator-autoconfigure:jar:2.7.18,ClassOrInterfaceType,org.springframework.boot.actuate.autoconfigure.metrics.MetricsAutoConfiguration,MetricsAutoConfiguration,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerMetricsAutoConfiguration.java,36
org.springframework.boot:spring-boot-actuator-autoconfigure:jar:2.7.18,ClassOrInterfaceType,org.springframework.boot.actuate.autoconfigure.health.HealthContributorAutoConfiguration,HealthContributorAutoConfiguration,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerActuatorAutoConfiguration.java,30
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,existingDataSource,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,85
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,151
org.slf4j:slf4j-api:jar:2.0.0-alpha1,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,67
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\startup\ImmediateStart.java,25
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Optional,ifPresent,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,178
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,configuredTasks,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,113
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerMetricsAutoConfiguration,DbSchedulerMetricsAutoConfiguration,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerMetricsAutoConfiguration.java,47
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerMetricsAutoConfiguration.java,61
org.springframework.boot:spring-boot:jar:2.7.18,MethodCallExpr,org.springframework.boot.LazyInitializationExcludeFilter,forBeanTypes,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,219
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerProperties,enabled,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerProperties.java,132
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,schedulerName,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,149
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,166
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,133
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.config.startup.AbstractSchedulerStarter,log,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\startup\AbstractSchedulerStarter.java,36
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerProperties,schedulerName,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerProperties.java,164
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,executorService,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,175
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,183
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,150
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,DbSchedulerCustomizer,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,112
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.time.Duration,Duration,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerProperties.java,147
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.config.startup.AbstractSchedulerStarter,scheduler,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\startup\AbstractSchedulerStarter.java,46
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerProperties,getPollingInterval,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,126
CLIENT:client-code:N/A:N/A,NameExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,config,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,136
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerCustomizer.java,40
org.slf4j:slf4j-api:jar:2.0.0-alpha1,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerActuatorAutoConfiguration.java,37
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,configureDataSource,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,117
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.sql.DataSource,DataSource,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,71
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Optional,empty,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerCustomizer.java,61
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,dataSource,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,117
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration.Anonymous-dcbbb448-5360-4c5e-a462-ddcfe04cbde4,Anonymous-dcbbb448-5360-4c5e-a462-ddcfe04cbde4,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,97
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.kagkarlsson.scheduler.boot.autoconfigure.DbSchedulerAutoConfiguration,schedulerListeners,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,89
org.springframework.boot:spring-boot-actuator-autoconfigure:jar:2.7.18,ClassOrInterfaceType,org.springframework.boot.actuate.autoconfigure.health.HealthContributorAutoConfiguration,HealthContributorAutoConfiguration,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerActuatorAutoConfiguration.java,32
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerCustomizer,housekeeperExecutor,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,181
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerProperties.java,60
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.kagkarlsson.scheduler.boot.config.DbSchedulerProperties,getPollingStrategy,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\autoconfigure\DbSchedulerAutoConfiguration.java,139
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kagkarlsson__db-scheduler\db-scheduler-boot-starter\src\main\java\com\github\kagkarlsson\scheduler\boot\config\DbSchedulerProperties.java,159
