Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,ClassOrInterfaceType,ch.bedag.dap.hellodata.jupyterhub.sidecar.service.user.TemporaryUserService,TemporaryUserService,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\controller\TemporaryUserController.java,13
CLIENT:client-code,N/A,false,ClassOrInterfaceType,ch.bedag.dap.hellodata.jupyterhub.sidecar.config.props.HellodataJupyterhubProperties,HellodataJupyterhubProperties,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\datasource\DwhJdbcTemplateConfig.java,18
CLIENT:client-code,N/A,false,MethodCallExpr,ch.bedag.dap.hellodata.jupyterhub.sidecar.service.user.TemporaryUserService,createTemporaryUser,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\controller\TemporaryUserController.java,17
org.springframework:spring-jdbc,6.2.6,true,MethodCallExpr,org.springframework.jdbc.core.JdbcTemplate,execute,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,55
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\props\HellodataJupyterhubProperties.java,18
org.springframework:spring-web,6.0.7,true,FieldAccessExpr,org.springframework.http.HttpMethod,POST,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,40
CLIENT:client-code,N/A,false,MethodCallExpr,ch.bedag.dap.hellodata.jupyterhub.sidecar.config.security.SecurityConfig,passwordEncoder,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,62
org.springframework:spring-jdbc,6.2.6,true,ClassOrInterfaceType,org.springframework.jdbc.core.JdbcTemplate,JdbcTemplate,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\datasource\DwhJdbcTemplateConfig.java,35
org.springframework.security:spring-security-config,6.0.2,true,MethodReferenceExpr,org.springframework.security.config.annotation.web.configurers.AbstractHttpConfigurer,disable,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,29
JDK:java.base,N/A,false,MethodCallExpr,java.time.LocalDateTime,format,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,50
,,false,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer.AuthorizedUrl,authenticated,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.net.URI,getHost,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,79
,,false,MethodCallExpr,org.springframework.security.core.userdetails.User.UserBuilder,passwordEncoder,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.time.format.DateTimeFormatter,ofPattern,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,31
JDK:java.base,N/A,false,MethodCallExpr,java.time.LocalDateTime,format,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,33
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\props\HellodataJupyterhubProperties.java,17
JDK:java.base,N/A,false,MethodCallExpr,java.util.UUID,toString,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.time.LocalDateTime,LocalDateTime,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,47
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,36
org.springframework.security:spring-security-config,6.0.2,true,MethodCallExpr,org.springframework.security.config.annotation.web.AbstractRequestMatcherRegistry,anyRequest,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\security\SecurityConfig.java,39
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\resource\JupyterhubAppInfoResourceProviderService.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\service\user\TemporaryUserService.java,79
org.springframework:spring-jdbc,6.2.6,true,ClassOrInterfaceType,org.springframework.jdbc.core.JdbcTemplate,JdbcTemplate,C:\Users\tyin363\Documents\repos\kanton-bern__hellodata-be\hello-data-sidecars\hello-data-sidecar-jupyterhub\src\main\java\ch\bedag\dap\hellodata\jupyterhub\sidecar\config\datasource\DwhJdbcTemplateConfig.java,36
