Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,MethodReferenceExpr,com.intuit.karate.gatling.javaapi.KarateUriPattern,getUri,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,58
CLIENT:client-code,N/A,false,FieldAccessExpr,com.intuit.karate.gatling.javaapi.KarateUriPattern.KarateUriPatternBuilder,uri,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,57
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,44
io.karatelabs:karate-core,1.5.1,false,ClassOrInterfaceType,com.intuit.karate.http.HttpRequest,HttpRequest,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,54
CLIENT:client-code,N/A,false,FieldAccessExpr,com.intuit.karate.gatling.javaapi.KarateUriPattern,pauses,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,42
io.gatling:gatling-core-java,3.9.5,true,ClassOrInterfaceType,io.gatling.javaapi.core.ActionBuilder,ActionBuilder,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,66
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,68
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,56
,,false,ClassOrInterfaceType,com.intuit.karate.Runner.Builder,Builder,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,45
io.gatling:gatling-core-java,3.9.5,true,ClassOrInterfaceType,io.gatling.javaapi.core.Session,Session,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,67
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Collectors,toMap,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,58
JDK:java.base,N/A,false,MethodCallExpr,java.util.Arrays,stream,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,58
io.karatelabs:karate-core,1.5.1,false,ClassOrInterfaceType,com.intuit.karate.Runner,Runner,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,45
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,72
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collections,emptyList,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateFeatureBuilder.java,13
CLIENT:client-code,N/A,false,MethodCallExpr,com.intuit.karate.gatling.javaapi.KarateDsl,method,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,73
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.intuit.karate.gatling.javaapi.KarateUriPattern,KarateUriPattern,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateDsl.java,57
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,47
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.BiFunction,BiFunction,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,54
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.intuit.karate.gatling.javaapi.KarateUriPattern,KarateUriPattern,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,77
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.intuit.karate.gatling.javaapi.KarateFeatureBuilder,KarateFeatureBuilder,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateFeatureBuilder.java,17
io.karatelabs:karate-core,1.5.1,false,ClassOrInterfaceType,com.intuit.karate.core.ScenarioRuntime,ScenarioRuntime,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateProtocolBuilder.java,44
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.intuit.karate.gatling.javaapi.KarateUriPattern,KarateUriPattern,C:\Users\tyin363\Documents\repos\karatelabs__karate\karate-gatling\src\main\java\com\intuit\karate\gatling\javaapi\KarateUriPattern.java,65
