Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,jforgame.demo.game.crossrank.AbstractCrossRank,score,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\crossrank\AbstractCrossRank.java,31
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toLowerCase,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\database\config\ConfigDataPool.java,63
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.Executors,newSingleThreadExecutor,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\cross\core\CrossTransportManager.java,40
CLIENT:client-code:N/A:N/A,FieldAccessExpr,jforgame.demo.game.player.PlayerManager,onlines,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\player\PlayerManager.java,160
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,jforgame.demo.game.accout.entity.AccountEnt,AccountEnt,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\accout\entity\AccountManager.java,13
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\gm\GmManager.java,26
CLIENT:client-code:N/A:N/A,FieldAccessExpr,jforgame.demo.ServerConfig,serverId,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\ServerConfig.java,146
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\socket\SessionManager.java,24
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.FileReader,FileReader,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\db\DbUtils.java,39
CLIENT:client-code:N/A:N/A,MethodCallExpr,jforgame.demo.cache.BaseCacheService,get,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-demo\src\main\java\jforgame\demo\game\cross\ladder\service\LadderClientManager.java,56
