Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.apache.mina:mina-core,2.0.22,false,ObjectCreationExpr,org.apache.mina.transport.socket.nio.NioSocketConnector,NioSocketConnector,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\client\TcpSocketClient.java,35
io.github.jforgame:jforgame-codec-api,2.5.0,true,ClassOrInterfaceType,jforgame.codec.MessageCodec,MessageCodec,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\DefaultProtocolDecoder.java,37
org.apache.mina:mina-core,2.0.22,false,MethodCallExpr,org.apache.mina.core.buffer.IoBuffer,mark,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\DefaultProtocolDecoder.java,48
org.apache.mina:mina-core,2.0.22,false,ClassOrInterfaceType,org.apache.mina.transport.socket.DefaultSocketSessionConfig,DefaultSocketSessionConfig,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\server\TcpSocketServer.java,64
CLIENT:client-code,N/A,false,MethodCallExpr,jforgame.socket.mina.MSession,close,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\MSession.java,45
JDK:java.base,N/A,false,MethodCallExpr,java.net.InetSocketAddress,getPort,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\MSession.java,79
CLIENT:client-code,N/A,false,FieldAccessExpr,jforgame.socket.mina.support.server.TcpSocketServerBuilder,messageCodec,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\server\TcpSocketServerBuilder.java,41
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\DefaultProtocolDecoder.java,44
org.apache.mina:mina-core,2.0.22,false,MethodCallExpr,org.apache.mina.core.filterchain.DefaultIoFilterChainBuilder,addLast,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\server\TcpSocketServer.java,72
JDK:java.base,N/A,false,MethodCallExpr,java.net.InetSocketAddress,getAddress,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\MSession.java,95
org.apache.mina:mina-core,2.0.22,false,ClassOrInterfaceType,org.apache.mina.filter.codec.ProtocolEncoder,ProtocolEncoder,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\DefaultProtocolCodecFactory.java,29
CLIENT:client-code,N/A,false,ClassOrInterfaceType,jforgame.socket.mina.support.server.TcpSocketServerBuilder,TcpSocketServerBuilder,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\server\TcpSocketServerBuilder.java,35
CLIENT:client-code,N/A,false,ObjectCreationExpr,jforgame.socket.mina.MSession,MSession,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\DefaultSocketIoHandler.java,29
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\MSession.java,25
CLIENT:client-code,N/A,false,FieldAccessExpr,jforgame.socket.mina.support.server.TcpSocketServer,messageCodec,C:\Users\tyin363\Documents\repos\kingston-csj__jforgame\jforgame-socket-parent\jforgame-socket-mina\src\main\java\jforgame\socket\mina\support\server\TcpSocketServerBuilder.java,76
