Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,251
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,257
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,91
org.eclipse.jetty:jetty-webapp,10.0.9,false,MethodCallExpr,org.eclipse.jetty.webapp.WebAppContext,setParentLoaderPriority,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,169
org.eclipse.jetty.toolchain:jetty-servlet-api,4.0.6,true,ClassOrInterfaceType,javax.servlet.Servlet,Servlet,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,251
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,317
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,126
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,214
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,324
org.eclipse.jetty:jetty-server,10.0.9,true,MethodCallExpr,org.eclipse.jetty.server.Server,setStopAtShutdown,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,60
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,137
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,395
org.eclipse.jetty:jetty-server,10.0.9,true,ObjectCreationExpr,org.eclipse.jetty.server.HttpConnectionFactory,HttpConnectionFactory,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,113
org.eclipse.jetty:jetty-server,10.0.9,true,ClassOrInterfaceType,org.eclipse.jetty.server.HttpConnectionFactory,HttpConnectionFactory,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,159
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,159
org.eclipse.jetty:jetty-servlet,10.0.9,true,ClassOrInterfaceType,org.eclipse.jetty.servlet.FilterHolder,FilterHolder,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,326
org.eclipse.jetty:jetty-webapp,10.0.9,false,ClassOrInterfaceType,org.eclipse.jetty.webapp.WebAppContext,WebAppContext,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyServletServer.java,71
org.eclipse.jetty:jetty-server,10.0.9,true,ObjectCreationExpr,org.eclipse.jetty.server.HttpConfiguration,HttpConfiguration,C:\Users\tyin363\Documents\repos\kumuluz__kumuluzee\servlet\jetty\src\main\java\com\kumuluz\ee\jetty\JettyFactory.java,97
