Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,MethodCallExpr,com.laigeoffer.pmhub.quartz.service.ISysJobService,deleteJobByIds,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,145
,NameExpr,com.laigeoffer.pmhub.quartz.service.impl.SysJobLogServiceImpl,jobLogMapper,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\service\impl\SysJobLogServiceImpl.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\task\RyTask.java,17
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,size,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\JobInvokeUtil.java,151
,MethodCallExpr,com.laigeoffer.pmhub.quartz.service.ISysJobLogService,cleanJobLog,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobLogController.java,79
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.domain.SysJobLog,SysJobLog,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\mapper\SysJobLogMapper.java,34
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.LinkedList,LinkedList,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\JobInvokeUtil.java,101
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getCronExpression,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,74
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.domain.SysJobLog,SysJobLog,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobLogController.java,48
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJobLog,setInvokeTarget,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\AbstractQuartzJob.java,72
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getInvokeTarget,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,78
,NameExpr,com.laigeoffer.pmhub.quartz.domain.SysJobLog,stopTime,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJobLog.java,135
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJobLog,getJobMessage,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJobLog.java,148
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getJobName,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,77
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.domain.SysJob,SysJob,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\mapper\SysJobMapper.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,78
,MethodCallExpr,com.laigeoffer.pmhub.quartz.service.ISysJobService,selectJobList,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,42
,ObjectCreationExpr,com.laigeoffer.pmhub.quartz.domain.SysJobLog,SysJobLog,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\AbstractQuartzJob.java,69
,NameExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,cronExpression,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,112
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Double,Double,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\task\RyTask.java,13
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,120
,NameExpr,com.laigeoffer.pmhub.quartz.util.AbstractQuartzJob,log,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\AbstractQuartzJob.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Boolean,Boolean,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\task\RyTask.java,13
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getInvokeTarget,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,80
,FieldAccessExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,misfirePolicy,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,132
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJobLog.java,98
,MethodCallExpr,com.laigeoffer.pmhub.quartz.util.JobInvokeUtil,getMethodParams,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\JobInvokeUtil.java,27
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getJobName,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,109
,FieldAccessExpr,com.laigeoffer.pmhub.quartz.domain.SysJobLog,stopTime,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJobLog.java,139
,NameExpr,com.laigeoffer.pmhub.quartz.controller.SysJobController,jobService,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,88
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobLogController.java,68
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.domain.SysJob,SysJob,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\service\impl\SysJobServiceImpl.java,215
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.util.AbstractQuartzJob,AbstractQuartzJob,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\QuartzJobExecution.java,11
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,131
,NameExpr,com.laigeoffer.pmhub.quartz.controller.SysJobLogController,jobLogService,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobLogController.java,79
,NameExpr,com.laigeoffer.pmhub.quartz.service.impl.SysJobServiceImpl,jobMapper,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\service\impl\SysJobServiceImpl.java,186
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\JobInvokeUtil.java,100
,NameExpr,com.laigeoffer.pmhub.quartz.service.impl.SysJobLogServiceImpl,jobLogMapper,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\service\impl\SysJobLogServiceImpl.java,71
,ClassOrInterfaceType,com.laigeoffer.pmhub.quartz.util.QuartzJobExecution,QuartzJobExecution,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\ScheduleUtils.java,26
,MethodCallExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,getJobName,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\controller\SysJobController.java,75
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,65
,NameExpr,com.laigeoffer.pmhub.quartz.service.impl.SysJobServiceImpl,jobMapper,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\service\impl\SysJobServiceImpl.java,54
,NameExpr,com.laigeoffer.pmhub.quartz.domain.SysJob,misfirePolicy,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\domain\SysJob.java,128
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\laigeoffer__pmhub\pmhub-boot\pmhub-quartz\src\main\java\com\laigeoffer\pmhub\quartz\util\JobInvokeUtil.java,114
