Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Random,Random,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,90
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Random,Random,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\CurveInterferenceDraw.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.awt.Font,Font,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\SmallCharsBackgroundDraw.java,42
,MethodCallExpr,net.dreamlu.mica.captcha.core.Captcha,validate,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\CaptchaServiceImpl.java,53
,MethodCallExpr,net.dreamlu.mica.captcha.draw.CaptchaDraw,validate,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,117
,MethodCallExpr,net.dreamlu.mica.captcha.core.CaptchaUtil,randNum,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\CurveInterferenceDraw.java,42
,NameExpr,net.dreamlu.mica.captcha.core.Captcha,WIDTH,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,102
,ClassOrInterfaceType,net.dreamlu.mica.captcha.service.ICaptchaService,ICaptchaService,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\config\MicaCaptchaAutoConfiguration.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\ICaptchaService.java,131
JDK:java.base:N/A:N/A,FieldAccessExpr,java.awt.Font,BOLD,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\RandomCaptchaDraw.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\ICaptchaService.java,65
CLIENT:client-code:N/A:N/A,MethodCallExpr,net.dreamlu.mica.captcha.cache.SpringCacheCaptchaCache,getCache,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\cache\SpringCacheCaptchaCache.java,39
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Random,nextInt,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\RandomCaptchaDraw.java,70
,NameExpr,net.dreamlu.mica.captcha.service.CaptchaServiceImpl,captcha,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\CaptchaServiceImpl.java,53
org.springframework:spring-context:jar:6.2.9,MethodCallExpr,org.springframework.cache.CacheManager,getCache,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\cache\SpringCacheCaptchaCache.java,59
JDK:java.base:N/A:N/A,MethodCallExpr,java.awt.Graphics,getFontMetrics,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\MathCaptchaDraw.java,46
JDK:java.base:N/A:N/A,FieldAccessExpr,java.awt.RenderingHints,KEY_INTERPOLATION,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,123
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.awt.Color,Color,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\CaptchaUtil.java,72
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Random,Random,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\BackgroundDraw.java,38
,FieldAccessExpr,net.dreamlu.mica.captcha.core.Captcha,captchaDraw,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,72
org.springframework:spring-web:jar:6.2.9,ClassOrInterfaceType,org.springframework.http.ResponseEntity,ResponseEntity,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\ICaptchaService.java,106
JDK:java.base:N/A:N/A,MethodCallExpr,java.awt.Graphics2D,setRenderingHint,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\Captcha.java,127
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\core\ICaptcha.java,44
JDK:java.base:N/A:N/A,MethodCallExpr,java.awt.Graphics,setFont,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\SmallCharsBackgroundDraw.java,49
org.springframework:spring-web:jar:6.2.9,ClassOrInterfaceType,org.springframework.http.ResponseEntity,ResponseEntity,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\service\ICaptchaService.java,107
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,valueOf,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\Expression.java,86
,MethodCallExpr,net.dreamlu.mica.captcha.core.CaptchaUtil,randNum,C:\Users\tyin363\Documents\repos\lets-mica__mica\mica-captcha\src\main\java\net\dreamlu\mica\captcha\draw\SmallCharsBackgroundDraw.java,57
