Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.springframework.security:spring-security-config,5.4.8,true,MethodCallExpr,org.springframework.security.config.annotation.SecurityConfigurerAdapter,and,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,49
org.springframework.security:spring-security-config,5.4.8,true,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.FormLoginConfigurer,loginPage,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,49
org.springframework.security:spring-security-config,5.4.8,true,MethodCallExpr,org.springframework.security.config.annotation.web.builders.HttpSecurity,httpBasic,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,45
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,40
JDK:java.base,N/A,false,MethodCallExpr,java.util.UUID,toString,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,52
org.springframework.security:spring-security-config,5.4.8,true,MethodCallExpr,org.springframework.security.config.annotation.web.builders.HttpSecurity,logout,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,45
org.springframework.security:spring-security-config,5.4.8,true,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.AbstractAuthenticationFilterConfigurer,successHandler,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,49
org.springframework.security:spring-security-web,5.4.8,true,ObjectCreationExpr,org.springframework.security.web.authentication.SavedRequestAwareAuthenticationSuccessHandler,SavedRequestAwareAuthenticationSuccessHandler,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,41
org.springframework.boot:spring-boot,2.4.10,true,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,27
de.codecentric:spring-boot-admin-server,2.3.1,true,ClassOrInterfaceType,de.codecentric.boot.admin.server.config.AdminServerProperties,AdminServerProperties,C:\Users\tyin363\Documents\repos\lilishop__lilishop\admin\src\main\java\cn\lili\admin\AdminApplication.java,35
