Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,FieldAccessExpr,java.io.File,separator,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\NameUtil.java,84
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,split,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\NameUtil.java,39
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\StartupVO.java,63
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\NameUtil.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\logger\Logger.java,37
,,false,MethodCallExpr,io.github.linyimin0812.profiler.common.settings.ProfilerSettings,isNotBlank,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\settings\ProfilerSettings.java,31
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\StartupVO.java,48
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,matches,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\OSUtil.java,107
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\AgentHomeUtil.java,10
,,false,FieldAccessExpr,io.github.linyimin0812.profiler.common.ui.Statistics,label,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\Statistics.java,19
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\NameUtil.java,83
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,endsWith,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\NameUtil.java,45
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\StartupVO.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\MethodInvokeDetail.java,14
JDK:java.base,N/A,false,MethodCallExpr,java.util.Properties,getProperty,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\settings\ProfilerSettings.java,45
,,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.common.logger.Logger,Logger,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\logger\LogFactory.java,36
com.google.code.gson:gson,2.10.1,false,ObjectCreationExpr,com.google.gson.GsonBuilder,GsonBuilder,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\GsonUtil.java,14
,,false,MethodCallExpr,io.github.linyimin0812.profiler.common.logger.Logger,write,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\logger\Logger.java,64
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\logger\Logger.java,48
,,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.common.ui.MethodInvokeMetrics,MethodInvokeMetrics,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\ui\StartupVO.java,89
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-common\src\main\java\io\github\linyimin0812\profiler\common\utils\AgentHomeUtil.java,11
