Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,,false,MethodCallExpr,io.github.linyimin0812.profiler.extension.enhance.sample.asyncprofiler.one.AsyncProfiler,execute,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\AsyncProfiler.java,45
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Math,max,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,42
,,false,MethodCallExpr,io.github.linyimin0812.profiler.extension.enhance.jar.JarCollector,getClassLoaderUrls,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\jar\JarCollector.java,62
,,false,MethodCallExpr,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.FlameGraph,dump,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,32
,,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.FlameGraph.Frame,Frame,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,149
JDK:java.base,N/A,false,MethodCallExpr,java.io.File,getAbsolutePath,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\AsyncProfiler.java,111
JDK:java.base,N/A,false,MethodCallExpr,java.io.InputStream,read,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,123
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\jar\JarCollector.java,26
io.github.linyimin0812:spring-profiler-api,3.1.4,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.api.EventListener,EventListener,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\springbean\BeanCreateListener.java,21
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,contains,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\StacktraceProfiler.java,123
JDK:java.base,N/A,false,MethodCallExpr,java.util.Stack,pop,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\springbean\BeanCreateListener.java,54
,,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.extension.enhance.sample.asyncprofiler.one.AsyncProfiler,AsyncProfiler,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\one\AsyncProfiler.java,35
,,false,FieldAccessExpr,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.FlameGraph.Frame,total,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,95
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,26
JDK:java.base,N/A,false,MethodCallExpr,java.security.ProtectionDomain,getCodeSource,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\jar\JarCollector.java,44
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.NullPointerException,NullPointerException,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\one\AsyncProfiler.java,127
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\one\AsyncProfiler.java,143
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,26
,,false,FieldAccessExpr,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.FlameGraph.Frame,inlined,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,96
,,false,MethodCallExpr,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.FlameGraph,escape,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\FlameGraph.java,98
,,false,MethodCallExpr,io.github.linyimin0812.profiler.extension.enhance.sample.jvmprofiler.StacktraceProfiler.TraceProcessor,stop,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\jvmprofiler\StacktraceProfiler.java,60
,,false,ClassOrInterfaceType,io.github.linyimin0812.profiler.extension.enhance.sample.asyncprofiler.AsyncProfiler,AsyncProfiler,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\sample\asyncprofiler\AsyncProfiler.java,68
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\linyimin0812__spring-startup-analyzer\spring-profiler-extension\src\main\java\io\github\linyimin0812\profiler\extension\enhance\springbean\BeanCreateListener.java,60
