Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,274
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonComparator.java,40
CLIENT:client-code,N/A,false,MethodCallExpr,net.javacrumbs.jsonunit.assertj.JsonMapAssert,unsupportedOperation,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,115
CLIENT:client-code,N/A,false,ClassOrInterfaceType,net.javacrumbs.jsonunit.assertj.JsonAssert.ConfigurableJsonAssert,ConfigurableJsonAssert,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,447
JDK:java.base,N/A,false,ClassOrInterfaceType,java.math.BigDecimal,BigDecimal,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\ExpectedNode.java,84
org.assertj:assertj-core,3.27.4,false,ClassOrInterfaceType,org.assertj.core.api.AbstractAssert,AbstractAssert,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,63
JDK:java.base,N/A,false,ClassOrInterfaceType,java.math.BigDecimal,BigDecimal,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,196
org.assertj:assertj-core,3.27.4,false,MethodCallExpr,org.assertj.core.error.MessageFormatter,format,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,132
JDK:java.base,N/A,false,ClassOrInterfaceType,java.math.BigDecimal,BigDecimal,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,394
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,anyMatch,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,292
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,57
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\ExpectedNode.java,44
CLIENT:client-code,N/A,false,ClassOrInterfaceType,net.javacrumbs.jsonunit.assertj.JsonAssert,JsonAssert,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,105
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Number,Number,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,201
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonMapAssert.java,195
JDK:java.base,N/A,false,MethodCallExpr,java.math.BigDecimal,valueOf,C:\Users\tyin363\Documents\repos\lukas-krecan__JsonUnit\json-unit-assertj\src\main\java\net\javacrumbs\jsonunit\assertj\JsonAssert.java,403
