Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\SecKillRunnable.java,28
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.lyrric.service.SecKillService,startSecKill,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,208
org.apache.logging.log4j:log4j-api:jar:2.13.3,ClassOrInterfaceType,org.apache.logging.log4j.Logger,Logger,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,121
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.ui.MainFrame,vaccinesTable,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,174
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.lyrric.model.VaccineDetail,time,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\VaccineDetail.java,72
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.swing.JButton,JButton,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,34
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Integer,parseInt,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\ConsoleMode.java,63
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\SubDateTime.java,9
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.model.SubDateTime,startTime,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\SubDateTime.java,21
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.model.VaccineList,startTime,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\VaccineList.java,69
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,53
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\Member.java,21
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\VaccineList.java,68
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.model.SubDateTime,maxSub,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\SubDateTime.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,55
org.apache.httpcomponents:httpclient:jar:4.5.13,ClassOrInterfaceType,org.apache.http.client.methods.HttpGet,HttpGet,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,133
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,trim,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,162
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.lyrric.conf.Config,idCard,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\ConsoleMode.java,54
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.lyrric.model.BusinessException,code,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\BusinessException.java,16
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.lyrric.model.Area,Area,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,115
com.alibaba:fastjson:jar:1.2.72,MethodCallExpr,com.alibaba.fastjson.JSON,parseObject,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,100
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JTable,JTable,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MemberDialog.java,39
org.apache.httpcomponents:httpcore:jar:4.4.13,ClassOrInterfaceType,org.apache.http.Header,Header,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,144
com.alibaba:fastjson:jar:1.2.72,MethodCallExpr,com.alibaba.fastjson.JSONObject,getString,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,154
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.ui.MainFrame,provinceBox,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,161
,MethodCallExpr,org.apache.http.client.config.RequestConfig.Builder,build,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\service\HttpService.java,138
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.InterruptedException,InterruptedException,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\ConsoleMode.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\BusinessException.java,14
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.ui.MainFrame,startBtn,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,77
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.ui.MainFrame,vaccinesTable,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\MainFrame.java,175
CLIENT:client-code:N/A:N/A,NameExpr,com.github.lyrric.ui.ConsoleMode,secKillService,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\ConsoleMode.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\util\ParseUtil.java,83
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\model\Area.java,28
JDK:java.base:N/A:N/A,FieldAccessExpr,javax.swing.JOptionPane,PLAIN_MESSAGE,C:\Users\tyin363\Documents\repos\lyrric__seckill\src\main\java\com\github\lyrric\ui\ConfigDialog.java,59
