Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.mybatis.common.core.Response,success,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\DataResponse.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,109
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.common.core.Code,Code,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\exception\AssertException.java,30
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.common.core.RowsResponse,RowsResponse,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\RowsResponse.java,47
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.mybatis.common.core.Response,error,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,50
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.mybatis.common.core.Code,getCode,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\DataResponse.java,38
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.mybatis.common.core.Code,getCode,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,45
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.mybatis.common.core.Response,code,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,78
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.common.core.Response,Response,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,43
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.mybatis.common.core.Response,code,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Locale,getDefault,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\I18n.java,86
,ClassOrInterfaceType,io.mybatis.common.exception.AssertException,AssertException,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,183
JDK:java.base:N/A:N/A,MethodCallExpr,java.text.MessageFormat,format,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\I18n.java,50
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,isArray,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Utils.java,169
,ClassOrInterfaceType,io.mybatis.common.exception.AssertException,AssertException,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,51
,ObjectCreationExpr,io.mybatis.common.exception.AssertException,AssertException,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,87
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Character,isSpaceChar,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Utils.java,94
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.common.core.Code,Code,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,145
,ObjectCreationExpr,io.mybatis.common.exception.AssertException,AssertException,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\util\Assert.java,219
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\Response.java,104
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\exception\AssertException.java,29
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.mybatis.common.core.RowsResponse,rows,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\common\src\main\java\io\mybatis\common\core\RowsResponse.java,76
