Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
io.mybatis:mybatis-provider:jar:2.2.6,ClassOrInterfaceType,io.mybatis.mapper.fn.Fn,Fn,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,569
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.example.Example.Criteria,Criteria,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,610
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.fn.FnProvider,FnProvider,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\fn\FnMapper.java,55
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,set,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleProvider.java,205
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleWrapper.java,674
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.list.ListProvider,ListProvider,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\list\ListMapper.java,42
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.example.ExampleWrapper,ExampleWrapper,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleWrapper.java,225
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,variableIsFalse,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleProvider.java,162
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Iterable,Iterable,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,1085
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,1257
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.stream.Stream,map,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\base\EntityProvider.java,142
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.example.Example,Example,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleWrapper.java,45
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.mapper.fn.Fn,toEntityColumn,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,648
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.example.Example,Example,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleMapper.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\base\EntityProvider.java,153
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.EntityTable,updateColumns,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\list\ListProvider.java,106
io.mybatis:mybatis-provider:jar:2.2.6,ClassOrInterfaceType,io.mybatis.provider.EntityTable,EntityTable,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalProvider.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalProvider.java,262
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,io.mybatis.mapper.base.EntityProvider.Anonymous-fbca7519-9dc7-4884-9aea-90e220b5b763,Anonymous-fbca7519-9dc7-4884-9aea-90e220b5b763,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\base\EntityProvider.java,171
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,ifParameterNotNull,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\base\EntityProvider.java,200
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,1365
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.stream.Stream,map,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\fn\FnProvider.java,92
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,where,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\list\ListProvider.java,79
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,foreach,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\list\ListProvider.java,124
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.mybatis.mapper.fn.FnProvider,FnProvider,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\BaseMapper.java,73
io.mybatis:mybatis-provider:jar:2.2.6,ClassOrInterfaceType,io.mybatis.provider.Caching,Caching,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalMapper.java,79
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,caching,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalProvider.java,372
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.mybatis.mapper.example.ExampleMapper,example,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalMapper.java,107
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.mapper.fn.Fn,toEntityColumn,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,517
CLIENT:client-code:N/A:N/A,NameExpr,io.mybatis.mapper.example.Example.GeneratedCriteria,criteria,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\Example.java,538
io.mybatis:mybatis-provider:jar:2.2.6,MethodCallExpr,io.mybatis.provider.SqlScript,caching,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\logical\LogicalProvider.java,239
io.mybatis:mybatis-provider:jar:2.2.6,ClassOrInterfaceType,io.mybatis.provider.Caching,Caching,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\base\EntityMapper.java,71
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.mybatis.mapper.example.ExampleWrapper,current,C:\Users\tyin363\Documents\repos\mybatis-mapper__mapper\mapper\src\main\java\io\mybatis\mapper\example\ExampleWrapper.java,75
