Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,31
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,46
com.naturalprogrammer.spring-lemon:spring-lemon-commons,1.0.2,true,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.commons.security.UserDto,UserDto,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,56
com.naturalprogrammer.spring-lemon:spring-lemon-exceptions,1.0.2,true,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.exceptions.VersionException,VersionException,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LecmUtils.java,37
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LecmUtils.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,49
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getSimpleName,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LecmUtils.java,37
org.springframework.boot:spring-boot-autoconfigure,2.7.1,true,ClassOrInterfaceType,org.springframework.boot.autoconfigure.mongo.MongoReactiveAutoConfiguration,MongoReactiveAutoConfiguration,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LemonCommonsMongoAutoConfiguration.java,28
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LecmUtils.java,33
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,40
com.naturalprogrammer.spring-lemon:spring-lemon-commons-reactive,1.0.2,false,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.commonsreactive.LemonCommonsReactiveAutoConfiguration,LemonCommonsReactiveAutoConfiguration,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LemonCommonsMongoAutoConfiguration.java,29
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.commonsmongo.AbstractDocument,AbstractDocument,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\LecmUtils.java,34
com.naturalprogrammer.spring-lemon:spring-lemon-commons,1.0.2,true,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.commons.security.PermissionEvaluatorEntity,PermissionEvaluatorEntity,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-commons-mongo\src\main\java\com\naturalprogrammer\spring\lemon\commonsmongo\AbstractDocument.java,31
