Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.UUID,randomUUID,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,66
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Throwable,getMessage,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,51
CLIENT:client-code,N/A,false,MethodCallExpr,com.naturalprogrammer.spring.lemon.exceptions.MultiErrorException,validateField,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\util\LexUtils.java,113
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.naturalprogrammer.spring.lemon.exceptions.MultiErrorException,MultiErrorException,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\MultiErrorException.java,77
jakarta.validation:jakarta.validation-api,2.0.2,true,MethodCallExpr,javax.validation.ConstraintViolation,getMessage,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\LemonFieldError.java,73
org.springframework:spring-jcl,5.3.21,true,MethodCallExpr,org.apache.commons.logging.LogFactory,getLog,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,34
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,36
JDK:java.base,N/A,false,MethodCallExpr,java.util.UUID,toString,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,66
CLIENT:client-code,N/A,false,MethodCallExpr,com.naturalprogrammer.spring.lemon.exceptions.handlers.AbstractExceptionHandler,getExceptionId,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\handlers\AbstractExceptionHandler.java,67
jakarta.validation:jakarta.validation-api,2.0.2,true,MethodCallExpr,javax.validation.Validation,buildDefaultValidatorFactory,C:\Users\tyin363\Documents\repos\naturalprogrammer__spring-lemon\spring-lemon-exceptions\src\main\java\com\naturalprogrammer\spring\lemon\exceptions\util\LexUtils.java,45
