Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.OutputStream,OutputStream,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\Exporter.java,129
JDK:java.base,N/A,false,MethodCallExpr,java.io.ObjectOutputStream,writeObject,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\NitriteJsonExporter.java,196
CLIENT:client-code,N/A,false,FieldAccessExpr,org.dizitart.no2.support.crypto.AESEncryptor,saltLengthByte,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\crypto\AESEncryptor.java,89
com.fasterxml.jackson.core:jackson-core,2.19.0,true,MethodCallExpr,com.fasterxml.jackson.core.JsonParser,nextToken,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\NitriteJsonImporter.java,84
com.fasterxml.jackson.core:jackson-databind,2.19.1,false,MethodCallExpr,com.fasterxml.jackson.databind.ObjectMapper,getFactory,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\Exporter.java,60
com.fasterxml.jackson.core:jackson-core,2.19.0,true,ClassOrInterfaceType,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,DefaultPrettyPrinter,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\Exporter.java,146
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\Importer.java,68
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\processors\StringFieldEncryptionProcessor.java,61
,,false,ClassOrInterfaceType,org.dizitart.no2.support.exchange.ExportOptions,ExportOptions,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\NitriteJsonExporter.java,47
,,false,MethodCallExpr,org.dizitart.no2.support.exchange.NitriteJsonImporter,readIndices,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\NitriteJsonImporter.java,91
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\nitrite__nitrite-java\nitrite-support\src\main\java\org\dizitart\no2\support\exchange\NitriteJsonExporter.java,176
