Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,75
org.springframework.security:spring-security-config,6.4.2,true,MethodCallExpr,org.springframework.security.config.annotation.web.builders.HttpSecurity,authorizeHttpRequests,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,77
org.springframework.security:spring-security-config,6.4.2,true,MethodCallExpr,org.springframework.security.config.annotation.AbstractSecurityBuilder,build,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\jwt\BasicJwtResourceServerApplication.java,41
,,false,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer.AuthorizedUrl,authenticated,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\jwt\BasicJwtResourceServerApplication.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\jwt\BasicJwtResourceServerApplication.java,70
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,94
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\code\BasicRedirectCodeFlowApplication.java,40
,,false,ClassOrInterfaceType,com.okta.spring.tests.common.servlet.opaquetoken.BasicOpaqueTokenResourceServerApplication,BasicOpaqueTokenResourceServerApplication,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,42
org.springframework.security:spring-security-config,6.4.2,true,MethodCallExpr,org.springframework.security.config.annotation.web.AbstractRequestMatcherRegistry,anyRequest,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\jwt\BasicJwtResourceServerApplication.java,53
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,89
org.springframework.security:spring-security-web,6.4.2,true,ClassOrInterfaceType,org.springframework.security.web.SecurityFilterChain,SecurityFilterChain,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,49
,,false,ClassOrInterfaceType,com.okta.spring.tests.common.servlet.opaquetoken.BasicOpaqueTokenResourceServerApplication.Message,Message,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,80
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,68
org.springframework.security:spring-security-config,6.4.2,true,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.oauth2.server.resource.OAuth2ResourceServerConfigurer,jwt,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\jwt\BasicJwtResourceServerApplication.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\okta__okta-spring-boot\integration-tests\common-servlet\src\main\java\com\okta\spring\tests\common\servlet\opaquetoken\BasicOpaqueTokenResourceServerApplication.java,70
