Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,FieldAccessExpr,zipkin2.collector.Collector,logger,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,90
CLIENT:client-code,N/A,false,ClassOrInterfaceType,zipkin2.collector.Collector.Builder,Builder,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,139
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,266
CLIENT:client-code,N/A,false,MethodCallExpr,zipkin2.collector.CollectorMetrics,incrementSpansDropped,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,206
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.ConcurrentHashMap,ConcurrentHashMap,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\InMemoryCollectorMetrics.java,12
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,284
CLIENT:client-code,N/A,false,FieldAccessExpr,zipkin2.collector.Collector,metrics,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,91
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\CollectorMetrics.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\CollectorSampler.java,58
CLIENT:client-code,N/A,false,MethodCallExpr,zipkin2.collector.CollectorMetrics,incrementMessagesDropped,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,241
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,274
CLIENT:client-code,N/A,false,FieldAccessExpr,zipkin2.collector.Collector,sampler,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,94
CLIENT:client-code,N/A,false,ClassOrInterfaceType,zipkin2.collector.CollectorComponent,CollectorComponent,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\CollectorComponent.java,25
CLIENT:client-code,N/A,false,MethodCallExpr,zipkin2.collector.InMemoryCollectorMetrics,increment,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\InMemoryCollectorMetrics.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\InMemoryCollectorMetrics.java,87
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.ConcurrentHashMap,get,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\InMemoryCollectorMetrics.java,95
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,44
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,127
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.NullPointerException,NullPointerException,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,89
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.NullPointerException,NullPointerException,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,66
CLIENT:client-code,N/A,false,ClassOrInterfaceType,zipkin2.collector.CollectorComponent.Builder,Builder,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\CollectorComponent.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,235
org.slf4j:slf4j-api,2.0.16,false,MethodCallExpr,org.slf4j.Logger,debug,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,268
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,184
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\core\src\main\java\zipkin2\collector\Collector.java,198
