Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,ClassOrInterfaceType,zipkin2.collector.kafka.KafkaCollector,KafkaCollector,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,132
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,141
CLIENT:client-code,N/A,false,ClassOrInterfaceType,zipkin2.collector.kafka.KafkaCollector.LazyKafkaWorkers,LazyKafkaWorkers,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,146
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.atomic.AtomicReference,AtomicReference,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,202
org.slf4j:slf4j-api,1.7.36,true,MethodCallExpr,org.slf4j.Logger,error,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,265
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.ExecutorService,ExecutorService,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,204
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.CopyOnWriteArrayList,CopyOnWriteArrayList,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,203
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,253
org.apache.kafka:kafka-clients,3.9.1,false,ClassOrInterfaceType,org.apache.kafka.common.KafkaFuture,KafkaFuture,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,166
CLIENT:client-code,N/A,false,FieldAccessExpr,zipkin2.collector.kafka.KafkaCollector.LazyKafkaWorkers,builder,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,195
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.ExecutorService,shutdown,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,227
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.NullPointerException,NullPointerException,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,99
org.apache.kafka:kafka-clients,3.9.1,false,ClassOrInterfaceType,org.apache.kafka.common.KafkaException,KafkaException,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,259
org.slf4j:slf4j-api,1.7.36,true,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\openzipkin__zipkin\zipkin-collector\kafka\src\main\java\zipkin2\collector\kafka\KafkaCollector.java,125
