Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\engine\OLuceneIndexEngineAbstract.java,93
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Enum,equals,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\shape\OShapeOperationImpl.java,57
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.orientechnologies.lucene.analyzer.OLucenePerFieldAnalyzerWrapper,OLucenePerFieldAnalyzerWrapper,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\analyzer\OLucenePerFieldAnalyzerWrapper.java,75
org.apache.lucene:lucene-core:jar:9.12.2,ClassOrInterfaceType,org.apache.lucene.analysis.Analyzer,Analyzer,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\analyzer\OLucenePerFieldAnalyzerWrapper.java,85
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.orientechnologies.lucene.tx.OLuceneTxChanges,OLuceneTxChanges,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\engine\OLuceneLegacySpatialIndexEngine.java,175
CLIENT:client-code:N/A:N/A,NameExpr,com.orientechnologies.lucene.query.OLuceneQueryContext,fragments,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\query\OLuceneQueryContext.java,136
org.apache.lucene:lucene-core:jar:9.12.2,ClassOrInterfaceType,org.apache.lucene.analysis.Analyzer,Analyzer,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\analyzer\OLuceneAnalyzerFactory.java,87
,NameExpr,com.orientechnologies.spatial.shape.OShapeBuilder,GEOMETRY_FACTORY,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\shape\OComplexShapeBuilder.java,81
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.orientechnologies.lucene.index.OLuceneFullTextIndex,OLuceneFullTextIndex,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\functions\OLuceneSearchOnIndexFunction.java,176
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Double,isNaN,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\shape\OShapeBuilder.java,173
org.locationtech.spatial4j:spatial4j:jar:0.8,ClassOrInterfaceType,org.locationtech.spatial4j.shape.Shape,Shape,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\shape\OComplexShapeBuilder.java,141
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\query\OSpatialQueryContext.java,36
org.locationtech.spatial4j:spatial4j:jar:0.8,MethodCallExpr,org.locationtech.spatial4j.shape.jts.JtsGeometry,getGeom,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\shape\OPolygonShapeBuilder.java,100
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\lucene\OLuceneIndexFactory.java,92
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\orientechnologies__orientdb\lucene\src\main\java\com\orientechnologies\spatial\index\OLuceneSpatialIndex.java,83
