Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.springframework:spring-core,6.2.7,true,ClassOrInterfaceType,org.springframework.core.io.Resource,Resource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\store\DefaultAzureStorageImpl.java,357
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\store\DefaultAzureStorageImpl.java,501
CLIENT:client-code,N/A,false,MethodCallExpr,org.springframework.content.azure.config.AzureStorageConfigurer,configureAzureStorageConverters,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\config\AzureStorageConfiguration.java,92
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.content.azure.config.BlobId,BlobId,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\store\DefaultAzureStorageImpl.java,102
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\io\AzureBlobResource.java,72
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.InputStream,InputStream,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\store\DefaultAzureStorageImpl.java,310
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\config\AzureStorageRegistrar.java,12
,,false,ClassOrInterfaceType,internal.org.springframework.content.azure.io.AzureBlobResource,AzureBlobResource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\store\DefaultAzureStorageImpl.java,181
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\org\springframework\content\azure\store\AzureStorageContentStore.java,7
org.springframework:spring-core,6.2.7,true,ClassOrInterfaceType,org.springframework.core.io.Resource,Resource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-azure-storage\src\main\java\internal\org\springframework\content\azure\io\AzureBlobResource.java,77
