Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Is_Used_In_Client
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BlobAppendableUpload$AppendableUploadWriteableByteChannel,flush,METHOD_CHANGE,METHOD_ADDED_TO_INTERFACE; ANNOTATION_ADDED,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BlobAppendableUpload$AppendableUploadWriteableByteChannel,write,METHOD_CHANGE,METHOD_ADDED_TO_INTERFACE,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BlobInfo$Builder,setContexts,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BucketInfo$Builder,setCustomerManagedEncryptionEnforcementConfig,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BucketInfo$Builder,setCustomerSuppliedEncryptionEnforcementConfig,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BucketInfo$Builder,setGoogleManagedEncryptionEnforcementConfig,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_ADDED,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.BucketInfo$Builder,setIpFilter,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.FlushPolicy$MaxFlushSizeFlushPolicy,FlushPolicy$MaxFlushSizeFlushPolicy,CONSTRUCTOR_CHANGE,CONSTRUCTOR_LESS_ACCESSIBLE,false,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
com.google.cloud:google-cloud-storage,2.53.3,2.57.0,com.google.cloud.storage.FlushPolicy$MinFlushSizeFlushPolicy,FlushPolicy$MinFlushSizeFlushPolicy,CONSTRUCTOR_CHANGE,CONSTRUCTOR_REMOVED,false,false,false,1,com.google.cloud:google-cloud-storage,,,MINOR,false
jakarta.persistence:jakarta.persistence-api,3.1.0,3.2.0,jakarta.persistence.CollectionTable,options,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,jakarta.persistence:jakarta.persistence-api,,,MINOR,false
