Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.springframework:spring-core,6.2.8,true,MethodCallExpr,org.springframework.core.io.Resource,contentLength,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,352
,,false,MethodCallExpr,internal.org.springframework.content.gcs.store.DefaultGCPStorageImpl,absolutify,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,158
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\BlobIdResolverConverter.java,42
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,273
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\io\GCSResource.java,93
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,422
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,356
,,false,ClassOrInterfaceType,internal.org.springframework.content.gcs.config.BlobIdResolverConverter,BlobIdResolverConverter,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageConfiguration.java,45
com.google.cloud:google-cloud-storage,2.53.3,false,ClassOrInterfaceType,com.google.cloud.storage.BlobId,BlobId,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,87
org.springframework:spring-core,6.2.8,true,ClassOrInterfaceType,org.springframework.core.io.DefaultResourceLoader,DefaultResourceLoader,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageFactoryBean.java,84
org.springframework:spring-core,6.2.8,true,ClassOrInterfaceType,org.springframework.core.io.WritableResource,WritableResource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\io\GCSResource.java,111
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.OutputStream,OutputStream,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,270
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\BlobIdResolverConverter.java,58
,,false,FieldAccessExpr,internal.org.springframework.content.gcs.config.GCPStorageFactoryBean,resolver,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageFactoryBean.java,67
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\io\GCSResource.java,110
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,161
org.springframework:spring-core,6.2.8,true,ClassOrInterfaceType,org.springframework.core.io.Resource,Resource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,388
,,false,MethodCallExpr,internal.org.springframework.content.gcs.config.BlobIdResolverConverter,getBucket,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\BlobIdResolverConverter.java,40
,,false,FieldAccessExpr,internal.org.springframework.content.gcs.config.GCPStorageFactoryBean,context,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageFactoryBean.java,52
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageConfiguration.java,48
,,false,ObjectCreationExpr,org.springframework.core.convert.converter.GenericConverter.ConvertiblePair,GenericConverter$ConvertiblePair,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\BlobIdResolverConverter.java,25
com.google.cloud:google-cloud-storage,2.53.3,false,ClassOrInterfaceType,com.google.cloud.storage.BlobId,BlobId,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,104
org.springframework:spring-jcl,6.2.8,true,MethodCallExpr,org.apache.commons.logging.Log,error,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,344
,,false,FieldAccessExpr,internal.org.springframework.content.gcs.config.GCPStorageFactoryBean,s3StorePlacementService,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageFactoryBean.java,47
org.springframework:spring-core,6.2.8,true,MethodCallExpr,org.springframework.core.io.Resource,exists,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,537
,,false,FieldAccessExpr,internal.org.springframework.content.gcs.store.DefaultGCPStorageImpl,mappingContext,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,481
org.springframework:spring-jcl,6.2.8,true,MethodCallExpr,org.apache.commons.logging.Log,error,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,377
,,false,FieldAccessExpr,internal.org.springframework.content.gcs.io.GCSResource,client,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\io\GCSResource.java,28
org.springframework:spring-core,6.2.8,true,MethodCallExpr,org.springframework.core.io.Resource,createRelative,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\io\GCSResource.java,79
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.InputStream,InputStream,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,296
org.springframework:spring-jcl,6.2.8,true,MethodCallExpr,org.apache.commons.logging.Log,error,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,542
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\org\springframework\content\gcs\config\EnableGCPStorage.java,31
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\org\springframework\content\gcs\config\EnableGCPStorage.java,58
com.google.cloud:google-cloud-storage,2.53.3,false,ClassOrInterfaceType,com.google.cloud.storage.BlobId,BlobId,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,88
org.springframework:spring-core,6.2.8,true,ClassOrInterfaceType,org.springframework.core.io.Resource,Resource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,536
com.google.cloud:google-cloud-storage,2.53.3,false,MethodCallExpr,com.google.cloud.storage.BlobId,of,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\config\GCPStorageConfiguration.java,69
com.google.cloud:google-cloud-storage,2.53.3,false,ClassOrInterfaceType,com.google.cloud.storage.BlobId,BlobId,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,138
org.springframework:spring-core,6.2.8,true,ClassOrInterfaceType,org.springframework.core.io.WritableResource,WritableResource,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,340
commons-io:commons-io,2.8.0,true,MethodCallExpr,org.apache.commons.io.IOUtils,copy,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,341
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,256
org.springframework:spring-context,6.2.7,false,ClassOrInterfaceType,org.springframework.context.ApplicationContext,ApplicationContext,C:\Users\tyin363\Documents\repos\paulcwarren__spring-content\spring-content-gcs\src\main\java\internal\org\springframework\content\gcs\store\DefaultGCPStorageImpl.java,56
