Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.awt.Rectangle,intersection,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\coordinates\Coords.java,86
JDK:java.base,N/A,false,ClassOrInterfaceType,java.awt.Color,Color,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\comparison\ImageDiffer.java,28
JDK:java.base,N/A,false,ObjectCreationExpr,java.io.ByteArrayInputStream,ByteArrayInputStream,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\util\ImageTool.java,109
CLIENT:client-code,N/A,false,ClassOrInterfaceType,pazone.ashot.coordinates.Coords,Coords,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\coordinates\Coords.java,51
JDK:java.base,N/A,false,MethodCallExpr,java.lang.ClassLoader,getResourceAsStream,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\util\InnerScript.java,23
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\ImageReadException.java,12
CLIENT:client-code,N/A,false,ClassOrInterfaceType,pazone.ashot.comparison.ImageDiffer.CoordsSet,CoordsSet,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\comparison\ImageDiffer.java,70
CLIENT:client-code,N/A,false,ClassOrInterfaceType,pazone.ashot.coordinates.Coords,Coords,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\comparison\ImageDiffer.java,124
CLIENT:client-code,N/A,false,MethodCallExpr,pazone.ashot.ViewportPastingDecorator,getCurrentScrollY,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\ViewportPastingDecorator.java,43
CLIENT:client-code,N/A,false,ClassOrInterfaceType,pazone.ashot.coordinates.Coords,Coords,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\AShot.java,115
CLIENT:client-code,N/A,false,MethodCallExpr,pazone.ashot.cropper.indent.IndentCropper.NoFilteringArea,getSubimage,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\cropper\indent\IndentCropper.java,84
CLIENT:client-code,N/A,false,ClassOrInterfaceType,pazone.ashot.ShootingStrategy,ShootingStrategy,C:\Users\tyin363\Documents\repos\pazone__ashot\src\main\java\pazone\ashot\ShootingStrategies.java,233
