Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.Expression,getType,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,40
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.BooleanExpression,not,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,203
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.StringExpression,StringExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,162
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.StringExpression,StringExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,179
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,replace,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,201
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.CollectionPathBase,CollectionPathBase,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,63
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,268
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.SimpleExpression,isNull,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,191
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.github.perplexhub.rsql.RSQLQueryDslContext,RSQLQueryDslContext,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,111
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,125
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,get,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,135
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getDeclaredField,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,270
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,93
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.Path,Path,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslSupport.java,28
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.Field,get,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,79
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,115
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,replace,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,184
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Comparable,Comparable,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,215
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,263
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.CollectionPathBase,CollectionPathBase,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,80
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.Path,Path,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,28
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.BooleanExpression,BooleanExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,250
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,253
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.Field,get,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,62
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.SimpleExpression,eq,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,193
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.CollectionPathBase,CollectionPathBase,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,64
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,toString,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,159
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.github.perplexhub.rsql.RSQLQueryDslPredicateConverter,isEnumPath,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,198
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.StringExpression,StringExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,260
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getDeclaredField,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,73
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.BooleanExpression,not,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,205
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.github.perplexhub.rsql.RSQLQueryDslPredicateConverter,getStringExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,179
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.dsl.CollectionPathBase,CollectionPathBase,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,68
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,replace,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,203
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.Path,Path,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,240
com.querydsl:querydsl-core:jar:5.0.0,ClassOrInterfaceType,com.querydsl.core.types.Path,Path,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,75
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.github.perplexhub.rsql.RSQLQueryDslPredicateConverter,getStringExpression,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,162
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,contains,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,181
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.Expressions,path,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,133
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.StringExpression,like,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,163
com.querydsl:querydsl-core:jar:5.0.0,MethodCallExpr,com.querydsl.core.types.dsl.LiteralExpression,stringValue,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,263
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.github.perplexhub.rsql.RSQLQueryDslPredicateConverter,isEnumPath,C:\Users\tyin363\Documents\repos\perplexhub__rsql-jpa-specification\rsql-querydsl\src\main\java\io\github\perplexhub\rsql\RSQLQueryDslPredicateConverter.java,162
