Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,MethodCallExpr,com.pig4cloud.pig.common.excel.ExcelAutoConfiguration,getBaseUrl,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\ExcelAutoConfiguration.java,36
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pig4cloud.pig.common.excel.provider.RemoteDictApiService,RemoteDictApiService,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\provider\RemoteDictDataProvider.java,22
org.springframework:spring-web,6.2.7,true,MethodCallExpr,org.springframework.web.service.invoker.HttpServiceProxyFactory,builderFor,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\ExcelAutoConfiguration.java,39
CLIENT:client-code,N/A,false,MethodCallExpr,com.pig4cloud.pig.common.excel.provider.RemoteDictApiService,getDictByType,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\provider\RemoteDictDataProvider.java,31
,,false,MethodCallExpr,com.pig4cloud.plugin.excel.vo.DictEnum.Builder,add,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\provider\RemoteDictDataProvider.java,42
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\provider\RemoteDictApiService.java,24
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\ExcelAutoConfiguration.java,34
org.springframework:spring-web,6.2.7,true,ClassOrInterfaceType,org.springframework.web.client.RestClient,RestClient,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\ExcelAutoConfiguration.java,34
com.pig4cloud.excel:excel-spring-boot-starter,3.4.2,false,ClassOrInterfaceType,com.pig4cloud.plugin.excel.handler.DictDataProvider,DictDataProvider,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\ExcelAutoConfiguration.java,50
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-excel\src\main\java\com\pig4cloud\pig\common\excel\provider\RemoteDictApiService.java,24
