Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
cn.hutool:hutool-core,5.8.38,true,FieldAccessExpr,cn.hutool.core.text.StrPool,COMMA,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRemoteRegisteredClientRepository.java,106
org.aspectj:aspectjweaver,1.9.24,true,ClassOrInterfaceType,org.aspectj.lang.JoinPoint,JoinPoint,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigSecurityInnerAspect.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\ScopeException.java,28
org.springframework:spring-core,6.2.9,true,MethodCallExpr,org.springframework.util.Assert,hasText,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationConsentService.java,54
JDK:java.base,N/A,false,MethodCallExpr,java.util.Optional,ifPresent,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PermitAllUrlProperties.java,69
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigClientCredentialsOAuth2AuthenticatedPrincipal.java,30
org.apache.tomcat.embed:tomcat-embed-core,10.1.41,true,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\OAuth2EndpointUtils.java,54
io.github.openfeign:feign-core,13.6,true,MethodCallExpr,feign.RequestTemplate,header,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\feign\PigOAuthRequestInterceptor.java,61
,,false,MethodCallExpr,com.pig4cloud.pig.common.security.service.PigRedisOAuth2AuthorizationService,buildKey,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationService.java,102
org.springframework.security:spring-security-core,6.5.1,true,ClassOrInterfaceType,org.springframework.security.core.userdetails.User,User,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigUser.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\OAuth2ErrorCodesExpand.java,30
org.springframework:spring-web,6.2.7,true,FieldAccessExpr,org.springframework.http.HttpHeaders,AUTHORIZATION,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigBearerTokenExtractor.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\OAuth2EndpointUtils.java,39
org.springframework:spring-web,6.2.7,true,MethodCallExpr,org.springframework.http.HttpStatus,value,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\ResourceAuthExceptionEntryPoint.java,73
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigUser.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationService.java,115
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationService.java,82
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigClientCredentialsOAuth2AuthenticatedPrincipal.java,30
org.springframework:spring-core,6.2.9,true,MethodCallExpr,org.springframework.util.Assert,hasText,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationConsentService.java,53
,,false,ClassOrInterfaceType,com.pig4cloud.pig.common.security.service.PigUserDetailsService,PigUserDetailsService,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigAppUserDetailsServiceImpl.java,40
org.springframework:spring-core,6.2.9,true,ClassOrInterfaceType,org.springframework.core.Ordered,Ordered,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigCustomOpaqueTokenIntrospector.java,72
org.springframework:spring-context,6.2.9,true,MethodCallExpr,org.springframework.cache.Cache,put,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigUserDetailsServiceImpl.java,67
org.springframework.security:spring-security-oauth2-core,6.5.1,true,MethodCallExpr,org.springframework.security.oauth2.core.AuthorizationGrantType,getValue,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigCustomOpaqueTokenIntrospector.java,71
org.springframework.security:spring-security-core,6.5.1,true,MethodCallExpr,org.springframework.security.core.context.SecurityContext,getAuthentication,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\SecurityUtils.java,45
org.springframework:spring-webmvc,6.2.9,false,MethodCallExpr,org.springframework.web.servlet.mvc.method.RequestMappingInfo,getPathPatternsCondition,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PermitAllUrlProperties.java,70
,,false,ClassOrInterfaceType,org.springframework.security.oauth2.server.authorization.OAuth2Authorization.Token,Token,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigRedisOAuth2AuthorizationService.java,49
org.springframework.security:spring-security-oauth2-authorization-server,1.5.1,false,MethodCallExpr,org.springframework.security.oauth2.server.authorization.OAuth2Authorization,getRefreshToken,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\util\OAuth2EndpointUtils.java,83
org.springframework.security:spring-security-oauth2-resource-server,6.5.1,true,MethodCallExpr,org.springframework.security.oauth2.server.resource.BearerTokenErrors,invalidToken,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigBearerTokenExtractor.java,90
org.springframework:spring-context,6.2.9,true,ClassOrInterfaceType,org.springframework.cache.CacheManager,CacheManager,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigAppUserDetailsServiceImpl.java,44
JDK:java.base,N/A,false,MethodCallExpr,java.util.Arrays,asList,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PermitAllUrlProperties.java,60
org.apache.tomcat.embed:tomcat-embed-core,10.1.41,true,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,setStatus,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\ResourceAuthExceptionEntryPoint.java,64
org.springframework:spring-webmvc,6.2.9,false,ClassOrInterfaceType,org.springframework.web.servlet.config.annotation.WebMvcConfigurer,WebMvcConfigurer,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PigSecurityMessageSourceConfiguration.java,35
org.springframework.security:spring-security-core,6.5.1,true,ObjectCreationExpr,org.springframework.security.core.userdetails.UsernameNotFoundException,UsernameNotFoundException,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\service\PigUserDetailsService.java,52
org.springframework:spring-webmvc,6.2.9,false,MethodCallExpr,org.springframework.web.servlet.mvc.condition.PathPatternsRequestCondition,getPatternValues,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-common\pig-common-security\src\main\java\com\pig4cloud\pig\common\security\component\PermitAllUrlProperties.java,77
