Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
io.github.pig-mesh.nacos:nacos-console,3.0.2.OEM,false,ClassOrInterfaceType,com.alibaba.nacos.console.NacosConsole,NacosConsole,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,70
io.github.pig-mesh.nacos:nacos-server,3.0.2.OEM,false,ClassOrInterfaceType,com.alibaba.nacos.NacosServerBasicApplication,NacosServerBasicApplication,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,58
org.springframework:spring-context,6.2.9,true,ClassOrInterfaceType,org.springframework.context.ConfigurableApplicationContext,ConfigurableApplicationContext,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,70
org.springframework.boot:spring-boot,3.5.4,true,ObjectCreationExpr,org.springframework.boot.builder.SpringApplicationBuilder,SpringApplicationBuilder,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,58
io.github.pig-mesh.nacos:nacos-core,3.0.2.OEM,true,MethodCallExpr,com.alibaba.nacos.core.listener.startup.NacosStartUpManager,start,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,63
io.github.pig-mesh.nacos:nacos-core,3.0.2.OEM,true,FieldAccessExpr,com.alibaba.nacos.core.listener.startup.NacosStartUp,CORE_START_UP_PHASE,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,57
io.github.pig-mesh.nacos:nacos-core,3.0.2.OEM,true,FieldAccessExpr,com.alibaba.nacos.core.listener.startup.NacosStartUp,WEB_START_UP_PHASE,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,63
org.springframework:spring-context,6.2.9,true,ClassOrInterfaceType,org.springframework.context.ConfigurableApplicationContext,ConfigurableApplicationContext,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,64
io.github.pig-mesh.nacos:nacos-core,3.0.2.OEM,true,MethodCallExpr,com.alibaba.nacos.core.listener.startup.NacosStartUpManager,start,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,57
io.github.pig-mesh.nacos:nacos-core,3.0.2.OEM,true,FieldAccessExpr,com.alibaba.nacos.core.listener.startup.NacosStartUp,CONSOLE_START_UP_PHASE,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,69
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,52
io.github.pig-mesh.nacos:nacos-sys,3.0.2.OEM,true,ClassOrInterfaceType,com.alibaba.nacos.sys.env.DeploymentType,DeploymentType,C:\Users\tyin363\Documents\repos\pig-mesh__pig\pig-register\src\main\java\com\alibaba\nacos\bootstrap\PigNacosApplication.java,53
