Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.BiConsumer,BiConsumer,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiConsumer.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingRunnable.java,50
CLIENT:client-code,N/A,false,MethodCallExpr,com.pivovarit.function.ThrowingBiFunction,apply,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBinaryOperator.java,44
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingFunction.java,40
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingSupplier.java,62
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.CheckedException,CheckedException,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiConsumer.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Predicate,Predicate,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingPredicate.java,36
CLIENT:client-code,N/A,false,MethodCallExpr,com.pivovarit.function.ThrowingRunnable,run,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingRunnable.java,38
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiConsumer.java,57
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.CheckedException,CheckedException,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingPredicate.java,42
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.BiFunction,BiFunction,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiFunction.java,63
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.BiConsumer,BiConsumer,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiConsumer.java,40
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.CheckedException,CheckedException,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBinaryOperator.java,46
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingRunnable.java,35
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingFunction.java,68
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.CheckedException,CheckedException,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingRunnable.java,40
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingRunnable.java,34
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiFunction.java,57
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.ThrowingBinaryOperator,ThrowingBinaryOperator,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBinaryOperator.java,40
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.pivovarit.function.ThrowingBiFunction,ThrowingBiFunction,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBinaryOperator.java,38
CLIENT:client-code,N/A,false,MethodCallExpr,com.pivovarit.function.ThrowingBiPredicate,test,C:\Users\tyin363\Documents\repos\pivovarit__throwing-function\src\main\java\com\pivovarit\function\ThrowingBiPredicate.java,56
