Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.pixelsdb.pixels.cli.executor.CommandExecutor,CommandExecutor,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\CopyExecutor.java,44
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,trim,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\Main.java,289
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\CompactExecutor.java,188
net.sourceforge.argparse4j:argparse4j:jar:0.7.0,MethodCallExpr,net.sourceforge.argparse4j.inf.ArgumentParser,handleError,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\Main.java,188
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\Main.java,340
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equalsIgnoreCase,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\ImportExecutor.java,54
net.sourceforge.argparse4j:argparse4j:jar:0.7.0,MethodCallExpr,net.sourceforge.argparse4j.inf.Namespace,getString,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\LoadExecutor.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Properties,Properties,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\StatExecutor.java,141
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.BlockingQueue,BlockingQueue,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\LoadExecutor.java,110
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.DataOutputStream,DataOutputStream,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\CopyExecutor.java,97
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\pixelsdb__pixels\pixels-cli\src\main\java\io\pixelsdb\pixels\cli\executor\QueryExecutor.java,40
