Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,MethodCallExpr,com.querydsl.lucene4.AbstractLuceneQuery,createQuery,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\AbstractLuceneQuery.java,213
com.querydsl:querydsl-core,5.1.0,false,ClassOrInterfaceType,com.querydsl.core.types.Constant,Constant,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,119
com.querydsl:querydsl-core,5.1.0,false,ClassOrInterfaceType,com.querydsl.core.types.Expression,Expression,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,428
com.querydsl:querydsl-core,5.1.0,false,ClassOrInterfaceType,com.querydsl.core.DefaultQueryMetadata,DefaultQueryMetadata,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\AbstractLuceneQuery.java,87
CLIENT:client-code,N/A,false,MethodCallExpr,com.querydsl.lucene4.LuceneSerializer,eq,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,245
org.apache.lucene:lucene-core,4.2.1,false,ClassOrInterfaceType,org.apache.lucene.search.Sort,Sort,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,560
org.apache.lucene:lucene-core,4.2.1,false,ObjectCreationExpr,org.apache.lucene.search.BooleanClause,BooleanClause,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,79
org.apache.lucene:lucene-core,4.2.1,false,ClassOrInterfaceType,org.apache.lucene.document.Document,Document,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\AbstractLuceneQuery.java,320
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,200
CLIENT:client-code,N/A,false,ObjectCreationExpr,com.querydsl.lucene4.IgnoreCaseUnsupportedException,IgnoreCaseUnsupportedException,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,102
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,488
com.querydsl:querydsl-core,5.1.0,false,ClassOrInterfaceType,com.querydsl.core.types.Path,Path,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneExpressions.java,66
org.apache.lucene:lucene-core,4.2.1,false,ObjectCreationExpr,org.apache.lucene.search.BooleanClause,BooleanClause,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,146
CLIENT:client-code,N/A,false,MethodCallExpr,com.querydsl.lucene4.LuceneSerializer,in,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,106
com.querydsl:querydsl-core,5.1.0,false,MethodCallExpr,com.querydsl.core.types.Operation,getArg,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,254
org.apache.lucene:lucene-core,4.2.1,false,ClassOrInterfaceType,org.apache.lucene.search.WildcardQuery,WildcardQuery,C:\Users\tyin363\Documents\repos\querydsl__querydsl\querydsl-lucene4\src\main\java\com\querydsl\lucene4\LuceneSerializer.java,280
