Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,53
CLIENT:client-code:N/A:N/A,NameExpr,io.kcache.caffeine.CaffeineCache,loader,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,84
com.github.ben-manes.caffeine:caffeine:jar:2.9.3,ClassOrInterfaceType,com.github.benmanes.caffeine.cache.Cache,Cache,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,63
com.github.ben-manes.caffeine:caffeine:jar:2.9.3,MethodCallExpr,com.github.benmanes.caffeine.cache.Cache,invalidate,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,130
com.github.ben-manes.caffeine:caffeine:jar:2.9.3,MethodCallExpr,com.github.benmanes.caffeine.cache.Caffeine,writer,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,66
com.github.ben-manes.caffeine:caffeine:jar:2.9.3,MethodCallExpr,com.github.benmanes.caffeine.cache.Cache,invalidateAll,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,137
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,122
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.time.Duration,Duration,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,64
com.github.ben-manes.caffeine:caffeine:jar:2.9.3,MethodCallExpr,com.github.benmanes.caffeine.cache.Caffeine,newBuilder,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Comparator,Comparator,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache-caffeine\src\main\java\io\kcache\caffeine\CaffeineCache.java,56
