Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,MethodCallExpr,io.kcache.utils.TransformedRawCache,all,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\TransformedRawCache.java,170
org.apache.kafka:kafka-clients,3.9.0,false,ClassOrInterfaceType,org.apache.kafka.common.TopicPartition,TopicPartition,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\FileCheckpointHandler.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\KeyComparator.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,1070
CLIENT:client-code,N/A,false,MethodCallExpr,io.kcache.KafkaCache.WorkerThread,checkpointOffsets,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,1064
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\FileCheckpointHandler.java,58
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.UnsupportedOperationException,UnsupportedOperationException,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,125
JDK:java.base,N/A,false,MethodCallExpr,java.util.Iterator,hasNext,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,268
org.slf4j:slf4j-api,2.0.17,false,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,1195
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\EnumRecommender.java,33
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,get,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\TransformedRawCache.java,141
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,putIfAbsent,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\TransformedRawCache.java,124
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\exceptions\CacheTimeoutException.java,21
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Collectors,toCollection,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,563
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,250
CLIENT:client-code,N/A,false,MethodCallExpr,io.kcache.utils.PersistentCache.SubCache,all,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,438
org.apache.kafka:kafka-clients,3.9.0,false,MethodCallExpr,org.apache.kafka.common.serialization.Serde,serializer,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\TransformedRawCache.java,149
CLIENT:client-code,N/A,false,ClassOrInterfaceType,io.kcache.exceptions.CacheException,CacheException,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\exceptions\EntryTooLargeException.java,17
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,301
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCacheConfig.java,162
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,toString,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\EnumRecommender.java,44
JDK:java.base,N/A,false,MethodCallExpr,java.util.Iterator,next,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KeyValueIterators.java,146
com.google.guava:guava,33.3.1-jre,false,ClassOrInterfaceType,com.google.common.util.concurrent.Striped,Striped,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,36
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.ReadWriteLock,readLock,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,91
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Predicate,Predicate,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,414
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.Function,apply,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KeyValueIterators.java,130
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,417
CLIENT:client-code,N/A,false,FieldAccessExpr,io.kcache.utils.PersistentCache.SubCache,isDescending,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,590
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\InMemoryBoundedCache.java,124
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,133
com.google.guava:guava,33.3.1-jre,false,MethodCallExpr,com.google.common.collect.ImmutableSet,copyOf,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\EnumRecommender.java,51
org.apache.kafka:kafka-clients,3.9.0,false,ClassOrInterfaceType,org.apache.kafka.clients.consumer.ConsumerRecord,ConsumerRecord,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,982
CLIENT:client-code,N/A,false,FieldAccessExpr,io.kcache.utils.PersistentCache,rootDir,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\PersistentCache.java,75
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,1094
CLIENT:client-code,N/A,false,FieldAccessExpr,io.kcache.utils.InMemoryCache,delegate,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\InMemoryCache.java,45
CLIENT:client-code,N/A,false,FieldAccessExpr,io.kcache.KafkaCache,kafkaTopicReader,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,294
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.Lock,lock,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,252
org.apache.kafka:kafka-clients,3.9.0,false,ClassOrInterfaceType,org.apache.kafka.clients.admin.Config,Config,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,491
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.BiFunction,BiFunction,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,212
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,328
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\OffsetCheckpoint.java,77
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\Caches.java,196
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.NavigableMap,NavigableMap,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\InMemoryCache.java,77
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,151
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,528
org.apache.kafka:kafka-clients,3.9.0,false,ClassOrInterfaceType,org.apache.kafka.common.TopicPartition,TopicPartition,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,1094
CLIENT:client-code,N/A,false,ObjectCreationExpr,io.kcache.utils.InMemoryBoundedCache,InMemoryBoundedCache,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\KafkaCache.java,207
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\rayokota__kcache\kcache\src\main\java\io\kcache\utils\OffsetCheckpoint.java,234
