Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,FieldAccessExpr,de.sldk.mc.config.PrometheusExporterConfig,PORT,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\config\PrometheusExporterConfig.java,53
JDK:java.base,N/A,false,FieldAccessExpr,java.util.logging.Level,FINE,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\tick_duration\TickDurationCollector.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\collectors\LoadedChunksCollector.java,21
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.sldk.mc.metrics.Metric,Metric,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\TickDurationAverageCollector.java,7
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,get,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\player\PlayerStatisticLoaderFromFile.java,118
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.sldk.mc.metrics.Metric,Metric,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\ThreadsWrapper.java,10
CLIENT:client-code,N/A,false,FieldAccessExpr,de.sldk.mc.metrics.Metric,plugin,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\Metric.java,21
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.sldk.mc.health.HealthCheck,HealthCheck,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\health\HealthCheck.java,31
io.prometheus:simpleclient,0.16.0,true,MethodCallExpr,io.prometheus.client.SimpleCollector,clear,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\Entities.java,44
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.sldk.mc.metrics.tick_duration.TickDurationStrategy,TickDurationStrategy,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\tick_duration\TickDurationCollector.java,12
CLIENT:client-code,N/A,false,FieldAccessExpr,de.sldk.mc.collectors.TpsCollector,systemTimeSupplier,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\collectors\TpsCollector.java,36
io.prometheus:simpleclient,0.16.0,true,MethodCallExpr,io.prometheus.client.Gauge,build,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\Memory.java,8
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\player\PlayerStatisticLoaderFromBukkit.java,78
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\PlayerStatistics.java,70
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.sldk.mc.health.HealthCheck,HealthCheck,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\health\HealthChecks.java,20
JDK:java.base,N/A,false,ClassOrInterfaceType,java.nio.file.Path,Path,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\utils\PathFileSize.java,9
,,false,MethodCallExpr,io.prometheus.client.SimpleCollector.Builder,help,C:\Users\tyin363\Documents\repos\sladkoff__minecraft-prometheus-exporter\src\main\java\de\sldk\mc\metrics\WorldSize.java,13
