Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
io.smallrye:smallrye-context-propagation,2.2.1,false,MethodCallExpr,io.smallrye.context.SmallRyeThreadContext,isEmpty,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,246
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,51
CLIENT:client-code,N/A,false,MethodCallExpr,io.smallrye.mutiny.context.BaseContextPropagationInterceptor,getThreadContext,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,83
io.smallrye:smallrye-context-propagation,2.2.1,false,ClassOrInterfaceType,io.smallrye.context.impl.Contextualized,Contextualized,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,319
io.smallrye:smallrye-context-propagation,2.2.1,false,MethodCallExpr,io.smallrye.context.SmallRyeThreadContext,contextualSupplier,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,28
io.smallrye:smallrye-context-propagation,2.2.1,false,ClassOrInterfaceType,io.smallrye.context.impl.Contextualized,Contextualized,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,286
io.smallrye:smallrye-context-propagation,2.2.1,false,MethodCallExpr,io.smallrye.context.SmallRyeThreadContext,isContextualized,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,312
io.smallrye:smallrye-context-propagation,2.2.1,false,MethodCallExpr,io.smallrye.context.SmallRyeThreadContext,isEmpty,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,312
CLIENT:client-code,N/A,false,MethodCallExpr,io.smallrye.mutiny.context.BaseContextPropagationInterceptor,getThreadContext,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,215
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,391
CLIENT:client-code,N/A,false,ClassOrInterfaceType,io.smallrye.mutiny.context.BaseContextPropagationInterceptor.ContextualizedTriConsumer,ContextualizedTriConsumer,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,338
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,219
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Boolean,Boolean,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,368
org.eclipse.microprofile.context-propagation:microprofile-context-propagation-api,1.3,false,MethodCallExpr,org.eclipse.microprofile.context.ThreadContext,withContextCapture,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\MutinyContextManagerExtension.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,259
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,160
io.smallrye:smallrye-context-propagation,2.2.1,false,MethodCallExpr,io.smallrye.context.SmallRyeThreadContext,contextualFunction,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\context-propagation\src\main\java\io\smallrye\mutiny\context\BaseContextPropagationInterceptor.java,315
