Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,ClassOrInterfaceType,io.smallrye.mutiny.math.MinOperator,MinOperator,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\Math.java,150
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\TopOperator.java,9
,NameExpr,io.smallrye.mutiny.math.SumOperator,sum,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\SumOperator.java,24
,ClassOrInterfaceType,io.smallrye.mutiny.math.AverageOperator.State,State,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\AverageOperator.java,18
,NameExpr,io.smallrye.mutiny.math.MedianOperator,maxHeap,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\MedianOperator.java,43
,NameExpr,io.smallrye.mutiny.math.Statistic,max,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\Statistic.java,105
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Double,compare,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\Statistic.java,118
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Comparable,Comparable,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\StatisticsOperator.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.ConcurrentSkipListSet,ConcurrentSkipListSet,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\TopOperator.java,16
,FieldAccessExpr,io.smallrye.mutiny.math.Statistic,n,C:\Users\tyin363\Documents\repos\smallrye__smallrye-mutiny\math\src\main\java\io\smallrye\mutiny\math\Statistic.java,43
