Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,9
CLIENT:client-code:N/A:N/A,NameExpr,multimodule.core.SampleCore,field,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,13
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,10
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
CLIENT:client-code:N/A:N/A,NameExpr,multimodule.core.SampleCore,field,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,17
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,6
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,hashCode,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,13
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,10
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\src\test\resources\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,6
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,10
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,hashCode,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,13
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,6
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
CLIENT:client-code:N/A:N/A,NameExpr,multimodule.core.SampleCore,field,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,17
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,10
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,9
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,12
CLIENT:client-code:N/A:N/A,NameExpr,multimodule.core.SampleCore,field,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\SampleCore.java,13
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toString,C:\Users\tyin363\Documents\repos\spotbugs__sonar-findbugs\target\test-classes\projects\multi-module\multi-module-core\src\main\java\multimodule\core\InnerClassSample.java,6
