Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.springframework.cloud.consul.discovery.ConsulDiscoveryProperties,getQueryTagsForService,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\ConsulDiscoveryClient.java,73
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\ConsulDiscoveryProperties.java,307
,NameExpr,org.springframework.cloud.consul.serviceregistry.ConsulAutoRegistration,SEPARATOR,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\serviceregistry\ConsulAutoRegistration.java,279
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.springframework.cloud.consul.discovery.ConsulDiscoveryClient,ConsulDiscoveryClient,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\configclient\ConsulConfigServerBootstrapper.java,75
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.consul.discovery.ConsulDiscoveryClient,client,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\ConsulDiscoveryClient.java,108
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\serviceregistry\ConsulServiceRegistry.java,116
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.springframework.cloud.consul.discovery.ConsulDiscoveryProperties,getLifecycle,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\serviceregistry\ConsulAutoServiceRegistration.java,115
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\ConsulDiscoveryClient.java,87
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.net.Inet6Address,Inet6Address,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\discovery\ConsulServerUtils.java,57
org.springframework:spring-core:jar:6.0.23,ClassOrInterfaceType,org.springframework.core.env.Environment,Environment,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-consul\spring-cloud-consul-discovery\src\main\java\org\springframework\cloud\consul\serviceregistry\ConsulAutoRegistration.java,290
