Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,89
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,rest,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,97
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,SampleZookeeperApplication,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,101
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,rest,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,96
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication.AppClient,AppClient,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,62
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication.AppClient,hi,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,85
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,50
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,rest,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,90
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,appName,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,90
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,loadBalancer,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,90
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,env,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,86
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.springframework.cloud.zookeeper.sample.SampleZookeeperApplication,appClient,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-cloud__spring-cloud-zookeeper\spring-cloud-zookeeper-sample\src\main\java\org\springframework\cloud\zookeeper\sample\SampleZookeeperApplication.java,100
