Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,ClassOrInterfaceType,org.springframework.ai.chat.client.ChatClient.Builder,Builder,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,25
,MethodCallExpr,org.springframework.ai.chat.memory.MessageWindowChatMemory.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,32
org.springframework.ai:spring-ai-mcp:jar:1.0.1,ObjectCreationExpr,org.springframework.ai.mcp.SyncMcpToolCallbackProvider,SyncMcpToolCallbackProvider,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,31
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.Scanner,Scanner,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,37
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,defaultSystem,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,29
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,print,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,39
org.springframework.ai:spring-ai-client-chat:jar:1.0.1,MethodCallExpr,org.springframework.ai.chat.client.ChatClient,prompt,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,41
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.ChatClientRequestSpec,call,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,41
org.springframework.boot:spring-boot:jar:3.5.0,ClassOrInterfaceType,org.springframework.boot.CommandLineRunner,CommandLineRunner,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,25
,MethodCallExpr,org.springframework.ai.chat.client.advisor.MessageChatMemoryAdvisor.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,32
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,in,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,37
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,39
org.springframework.ai:spring-ai-client-chat:jar:1.0.1,ClassOrInterfaceType,org.springframework.ai.chat.client.ChatClient,ChatClient,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,25
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.springframework.ai.mcp.samples.brave.Application,Application,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,21
io.modelcontextprotocol.sdk:mcp:jar:0.10.0,ClassOrInterfaceType,io.modelcontextprotocol.client.McpSyncClient,McpSyncClient,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,25
org.springframework.ai:spring-ai-mcp:jar:1.0.1,ClassOrInterfaceType,org.springframework.ai.mcp.SyncMcpToolCallbackProvider,SyncMcpToolCallbackProvider,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,31
org.springframework.ai:spring-ai-model:jar:1.0.1,MethodCallExpr,org.springframework.ai.chat.memory.MessageWindowChatMemory,builder,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,32
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,20
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,40
org.springframework.boot:spring-boot:jar:3.5.0,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,21
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,36
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Scanner,Scanner,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,37
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,defaultAdvisors,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,29
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Scanner,nextLine,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,41
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,40
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.CallResponseSpec,content,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,41
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,25
org.springframework.ai:spring-ai-client-chat:jar:1.0.1,MethodCallExpr,org.springframework.ai.chat.client.advisor.MessageChatMemoryAdvisor,builder,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,32
,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,defaultToolCallbacks,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,29
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\web-search\brave-chatbot\src\main\java\org\springframework\ai\mcp\samples\brave\Application.java,36
