Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.slf4j:slf4j-api,2.0.17,true,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,85
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,60
CLIENT:client-code,N/A,false,MethodCallExpr,org.springframework.ai.mcp.samples.client.ClientApplication.ToolDescription,toString,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,68
,,false,MethodCallExpr,org.springframework.web.client.RestClient.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,71
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.ChatClientRequestSpec,toolCallbacks,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,79
org.slf4j:slf4j-api,2.0.17,true,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,93
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,72
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.CallResponseSpec,entity,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,60
org.slf4j:slf4j-api,2.0.17,true,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,68
org.springframework:spring-core,6.2.7,true,ClassOrInterfaceType,org.springframework.core.ParameterizedTypeReference,ParameterizedTypeReference,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,83
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.concurrent.CountDownLatch,CountDownLatch,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,40
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.ChatClientRequestSpec,call,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,60
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.ai.mcp.samples.client.ClientApplication,ClientApplication,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,43
CLIENT:client-code,N/A,false,MethodCallExpr,org.springframework.ai.mcp.samples.client.ClientApplication.ToolDescription,toString,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,85
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\client\src\main\java\org\springframework\ai\mcp\samples\client\ClientApplication.java,64
