Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.slf4j:slf4j-api,2.0.16,true,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,26
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.ai.mcp.sample.server.MathTools,MathTools,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,55
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.CountDownLatch,countDown,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,35
,,false,ClassOrInterfaceType,io.modelcontextprotocol.server.McpServerFeatures.SyncToolSpecification,SyncToolSpecification,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,54
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.ai.mcp.sample.server.WeatherService.WeatherResponse,WeatherResponse,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\WeatherService.java,61
,,false,MethodCallExpr,org.springframework.web.client.RestClient.Builder,defaultHeader,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\WeatherService.java,35
org.springframework:spring-web,6.2.7,true,MethodCallExpr,org.springframework.web.client.RestClient,builder,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\WeatherService.java,35
org.springframework.boot:spring-boot,3.5.0,true,ClassOrInterfaceType,org.springframework.boot.CommandLineRunner,CommandLineRunner,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,46
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.ai.mcp.sample.server.ServerApplication,ServerApplication,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\dynamic-tool-update\server\src\main\java\org\springframework\ai\mcp\sample\server\ServerApplication.java,26
