Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.ChatClientRequestSpec,call,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,48
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,35
org.springframework.ai:spring-ai-model,1.0.1,true,ClassOrInterfaceType,org.springframework.ai.tool.ToolCallbackProvider,ToolCallbackProvider,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,30
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,build,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,43
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.Builder,defaultToolCallbacks,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,43
org.springframework.ai:spring-ai-client-chat,1.0.1,true,MethodCallExpr,org.springframework.ai.chat.client.ChatClient,prompt,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,48
org.springframework.ai:spring-ai-client-chat,1.0.1,true,ClassOrInterfaceType,org.springframework.ai.chat.client.ChatClient,ChatClient,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,38
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.springframework.ai.mcp.samples.client.Application,Application,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,31
,,false,MethodCallExpr,org.springframework.ai.chat.client.ChatClient.CallResponseSpec,content,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,48
org.springframework:spring-context,6.2.7,true,MethodCallExpr,org.springframework.context.ConfigurableApplicationContext,close,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,50
org.springframework.boot:spring-boot,3.5.0,true,ClassOrInterfaceType,org.springframework.boot.CommandLineRunner,CommandLineRunner,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,38
,,false,ClassOrInterfaceType,org.springframework.ai.chat.client.ChatClient.Builder,Builder,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,38
org.springframework:spring-context,6.2.7,true,ClassOrInterfaceType,org.springframework.context.ConfigurableApplicationContext,ConfigurableApplicationContext,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,47
JDK:java.base,N/A,false,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,47
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,48
JDK:java.base,N/A,false,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,48
org.springframework.boot:spring-boot,3.5.0,true,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\spring-projects__spring-ai-examples\model-context-protocol\client-starter\starter-default-client\src\main\java\org\springframework\ai\mcp\samples\client\Application.java,31
