Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,14
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,27
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,62
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,74
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,41
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,30
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,19
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,62
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,74
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,34
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,36
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,51
,ClassOrInterfaceType,cn.sticki.user.dto.UserGeneralDTO,UserGeneralDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,74
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,49
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Double,Double,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,27
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,30
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,16
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,51
CLIENT:client-code:N/A:N/A,MethodCallExpr,cn.sticki.user.client.UserClientResolver,getUserList,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,52
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,39
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,cn.sticki.user.client.UserClientResolver,UserClientResolver,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,20
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,21
,ClassOrInterfaceType,cn.sticki.user.dto.UserGeneralDTO,UserGeneralDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Double,Double,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,59
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,57
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,51
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,cn.sticki.user.client.UserClientResolver,UserClientResolver,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,19
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,74
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserDTO.java,26
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,39
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,cn.sticki.user.client.UserClient,UserClient,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClientResolver.java,18
,ClassOrInterfaceType,cn.sticki.user.dto.UserDTO,UserDTO,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\client\UserClient.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\stick-i__scblogs\user-service\user-client\src\main\java\cn\sticki\user\dto\UserGeneralDTO.java,24
