Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.inf.Namespace,getString,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,109
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Boolean,Boolean,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,71
CLIENT:client-code,N/A,false,MethodCallExpr,io.swagger.v3.parser.SwaggerParser,readFromLocation,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,82
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.inf.Argument,setDefault,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,49
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,99
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,25
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.ArgumentParsers,newFor,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,99
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.inf.Argument,dest,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,65
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.inf.Namespace,getString,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,92
net.sourceforge.argparse4j:argparse4j,0.9.0,false,MethodCallExpr,net.sourceforge.argparse4j.inf.Argument,type,C:\Users\tyin363\Documents\repos\swagger-api__swagger-parser\modules\swagger-parser-cli\src\main\java\io\swagger\v3\parser\SwaggerParser.java,65
