Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,reverse,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,30
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\Application.java,9
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.Feature,Feature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,17
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,13
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,28
org.springframework:spring-web,6.0.11,true,MethodCallExpr,org.springframework.http.ResponseEntity,ok,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,32
,,false,MethodCallExpr,org.springframework.http.ResponseEntity.HeadersBuilder,build,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,34
CLIENT:client-code,N/A,false,ClassOrInterfaceType,sample.Application,Application,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\Application.java,10
org.togglz:togglz-core,4.4.0,true,MethodCallExpr,org.togglz.core.manager.FeatureManager,isActive,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,27
org.togglz:togglz-core,4.4.0,true,MethodCallExpr,org.togglz.core.manager.FeatureManager,isActive,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,29
org.springframework:spring-web,6.0.11,true,ClassOrInterfaceType,org.springframework.http.ResponseEntity,ResponseEntity,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,26
CLIENT:client-code,N/A,false,FieldAccessExpr,sample.HelloWorldController,manager,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,22
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.util.NamedFeature,NamedFeature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,17
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.manager.FeatureManager,FeatureManager,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,28
org.springframework:spring-web,6.0.11,true,MethodCallExpr,org.springframework.http.ResponseEntity,notFound,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,34
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.util.NamedFeature,NamedFeature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,19
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,toString,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,32
org.togglz:togglz-core,4.4.0,true,ObjectCreationExpr,org.togglz.core.util.NamedFeature,NamedFeature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,19
,,false,MethodCallExpr,org.springframework.http.ResponseEntity.BodyBuilder,body,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,32
org.togglz:togglz-core,4.4.0,true,ObjectCreationExpr,org.togglz.core.util.NamedFeature,NamedFeature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,17
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.manager.FeatureManager,FeatureManager,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,15
org.togglz:togglz-core,4.4.0,true,ClassOrInterfaceType,org.togglz.core.Feature,Feature,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\HelloWorldController.java,19
org.springframework.boot:spring-boot,3.3.1,true,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\togglz__togglz\samples\spring-boot-hello-world\src\main\java\sample\Application.java,10
