Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.nio.ByteBuffer,ByteBuffer,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,278
CLIENT:client-code,N/A,false,FieldAccessExpr,org.tio.flash.policy.server.FlashPolicyPacket,MAX_LING_LENGHT,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,246
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.tio.flash.policy.server.FlashPolicyPacket,FlashPolicyPacket,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyPacket.java,208
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,getBytes,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,266
JDK:java.base,N/A,false,ClassOrInterfaceType,java.nio.ByteBuffer,ByteBuffer,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,237
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,MethodCallExpr,org.tio.core.TioConfig,setHeartbeatTimeout,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,249
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.intf.Packet,Packet,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyPacket.java,203
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.server.intf.TioServerHandler,TioServerHandler,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,222
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.tio.flash.policy.server.FlashPolicyServerStarter.CheckRunnable,CheckRunnable,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,276
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.exception.LengthOverflowException,LengthOverflowException,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,247
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,305
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock,lock,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,295
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ObjectCreationExpr,org.tio.server.TioServer,TioServer,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,250
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.tio.flash.policy.server.FlashPolicyTioServerHandler,FlashPolicyTioServerHandler,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,215
org.t-io:tio-utils,3.8.7.v20250626-RELEASE,true,MethodCallExpr,org.tio.utils.lock.ObjWithLock,getObj,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,298
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,MethodCallExpr,org.tio.core.Tio,send,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,222
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,MethodCallExpr,org.tio.core.utils.ByteBufferUtils,readString,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,246
JDK:java.base,N/A,false,ClassOrInterfaceType,java.nio.ByteBuffer,ByteBuffer,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,279
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.ChannelContext,ChannelContext,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,237
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.ChannelContext,ChannelContext,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,278
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.ChannelContext,ChannelContext,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,221
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock,unlock,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,308
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,268
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.tio.flash.policy.server.FlashPolicyTioServerHandler,FlashPolicyTioServerHandler,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,247
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,254
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.ThreadPoolExecutor,ThreadPoolExecutor,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,243
org.t-io:tio-utils,3.8.7.v20250626-RELEASE,true,ClassOrInterfaceType,org.tio.utils.thread.pool.SynThreadPoolExecutor,SynThreadPoolExecutor,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,243
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,FieldAccessExpr,org.tio.core.ChannelContext,stat,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,300
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.tio.flash.policy.server.FlashPolicyPacket,FlashPolicyPacket,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyPacket.java,210
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,226
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.server.TioServerConfig,TioServerConfig,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,248
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Thread,start,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,277
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.tio.flash.policy.server.FlashPolicyPacket,FlashPolicyPacket,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyPacket.java,210
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Thread,Thread,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,276
org.slf4j:slf4j-api,1.7.32,true,MethodCallExpr,org.slf4j.Logger,error,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,306
org.t-io:tio-utils,3.8.7.v20250626-RELEASE,true,MethodCallExpr,org.tio.utils.Threads,getGroupExecutor,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,269
org.slf4j:slf4j-api,1.7.32,true,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,215
CLIENT:client-code,N/A,false,FieldAccessExpr,org.tio.flash.policy.server.FlashPolicyPacket,RESPONSE,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,222
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,243
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ObjectCreationExpr,org.tio.server.TioServerConfig,TioServerConfig,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,248
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ObjectCreationExpr,org.tio.core.exception.TioDecodeException,TioDecodeException,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,248
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.core.exception.TioDecodeException,TioDecodeException,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,258
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.tio.flash.policy.server.FlashPolicyTioServerHandler,FlashPolicyTioServerHandler,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,247
CLIENT:client-code,N/A,false,FieldAccessExpr,org.tio.flash.policy.server.FlashPolicyPacket,MIN_LENGHT,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,239
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,268
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ClassOrInterfaceType,org.tio.server.intf.TioServerHandler,TioServerHandler,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,214
org.slf4j:slf4j-api,1.7.32,true,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,254
org.t-io:tio-core,3.8.7.v20250626-RELEASE,false,ObjectCreationExpr,org.tio.core.exception.TioDecodeException,TioDecodeException,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,258
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,243
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,221
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,281
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\Const.java,207
JDK:java.base,N/A,false,MethodCallExpr,java.lang.System,exit,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyServerStarter.java,256
CLIENT:client-code,N/A,false,FieldAccessExpr,org.tio.flash.policy.server.FlashPolicyPacket,REQUEST,C:\Users\tyin363\Documents\repos\tywo45__t-io\src\zoo\flash-policy-server\src\main\java\org\tio\flash\policy\server\FlashPolicyTioServerHandler.java,256
