Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.github.jknack:handlebars,4.3.1,false,ClassOrInterfaceType,com.github.jknack.handlebars.Handlebars,Handlebars,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,64
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,81
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\JsonArrayValueResolver.java,50
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\HandlebarsTemplateEngine.java,55
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.handlebars.impl.JsonFormatter,JsonFormatter,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,65
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.handlebars.HandlebarsTemplateEngine,HandlebarsTemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,110
com.github.jknack:handlebars,4.3.1,false,ClassOrInterfaceType,com.github.jknack.handlebars.Handlebars,Handlebars,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,48
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,71
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\JsonArrayValueResolver.java,59
,,false,ObjectCreationExpr,io.vertx.ext.web.templ.handlebars.impl.JsonObjectValueResolver,JsonObjectValueResolver,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\JsonObjectValueResolver.java,32
com.github.jknack:handlebars,4.3.1,false,ClassOrInterfaceType,com.github.jknack.handlebars.ValueResolver,ValueResolver,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,46
JDK:java.base,N/A,false,MethodCallExpr,java.lang.System,currentTimeMillis,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,140
com.github.jknack:handlebars,4.3.1,false,ClassOrInterfaceType,com.github.jknack.handlebars.ValueResolver,ValueResolver,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,45
com.github.jknack:handlebars,4.3.1,false,ClassOrInterfaceType,com.github.jknack.handlebars.io.TemplateLoader,TemplateLoader,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,115
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.handlebars.HandlebarsTemplateEngine,HandlebarsTemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,43
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,171
,,false,FieldAccessExpr,io.vertx.ext.web.templ.handlebars.impl.HandlebarsTemplateEngineImpl.Loader,charset,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-handlebars\src\main\java\io\vertx\ext\web\templ\handlebars\impl\HandlebarsTemplateEngineImpl.java,187
