Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,33
,,false,ObjectCreationExpr,io.vertx.ext.web.templ.jte.impl.JteTemplateEngineImpl,JteTemplateEngineImpl,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,66
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.output.Utf8ByteOutput,Utf8ByteOutput,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,67
gg.jte:jte-runtime,3.2.1,true,MethodCallExpr,gg.jte.output.Utf8ByteOutput,getContentLength,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteBufferUtil.java,31
,,false,FieldAccessExpr,io.vertx.ext.web.templ.jte.impl.VertxDirectoryCodeResolver,templateRootDirectory,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,35
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.jte.impl.JteTemplateEngineImpl,JteTemplateEngineImpl,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,44
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.CodeResolver,CodeResolver,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,29
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.jte.JteTemplateEngine,JteTemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,33
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.jte.JteTemplateEngine,JteTemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,43
gg.jte:jte-runtime,3.2.1,true,ObjectCreationExpr,gg.jte.output.Utf8ByteOutput,Utf8ByteOutput,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,67
JDK:java.base,N/A,false,MethodCallExpr,java.nio.file.Path,toString,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,48
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.jte.JteTemplateEngine,JteTemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,53
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.TemplateEngine,TemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,70
JDK:java.base,N/A,false,ObjectCreationExpr,java.io.UncheckedIOException,UncheckedIOException,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteBufferUtil.java,36
JDK:java.base,N/A,false,MethodCallExpr,java.nio.file.Path,resolve,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,48
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.UncheckedIOException,UncheckedIOException,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteBufferUtil.java,36
gg.jte:jte-runtime,3.2.1,true,MethodCallExpr,gg.jte.TemplateEngine,createPrecompiled,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,61
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,43
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.output.Utf8ByteOutput,Utf8ByteOutput,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteBufferUtil.java,30
JDK:java.base,N/A,false,MethodCallExpr,java.nio.file.Paths,get,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,35
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,65
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.TemplateEngine,TemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,80
gg.jte:jte-runtime,3.2.1,true,ClassOrInterfaceType,gg.jte.TemplateEngine,TemplateEngine,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,35
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.nio.file.Path,Path,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\VertxDirectoryCodeResolver.java,31
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.ClassCastException,ClassCastException,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\impl\JteTemplateEngineImpl.java,80
,,false,ClassOrInterfaceType,io.vertx.ext.web.templ.jte.impl.JteTemplateEngineImpl,JteTemplateEngineImpl,C:\Users\tyin363\Documents\repos\vert-x3__vertx-web\vertx-template-engines\vertx-web-templ-jte\src\main\java\io\vertx\ext\web\templ\jte\JteTemplateEngine.java,66
