Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.fasterxml.jackson.core:jackson-databind,2.17.2,true,ClassOrInterfaceType,com.fasterxml.jackson.databind.node.ObjectNode,ObjectNode,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonUnwrappedDefinitionProvider.java,90
CLIENT:client-code,N/A,false,FieldAccessExpr,com.github.victools.jsonschema.module.jackson.JacksonModule,options,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JacksonModule.java,157
CLIENT:client-code,N/A,false,FieldAccessExpr,com.github.victools.jsonschema.module.jackson.JsonPropertySorter,sortAlphabeticallyIfNotAnnotated,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonPropertySorter.java,104
com.fasterxml.jackson.core:jackson-annotations,2.17.2,false,FieldAccessExpr,com.fasterxml.jackson.annotation.JsonProperty,USE_DEFAULT_NAME,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\CustomEnumDefinitionProvider.java,154
CLIENT:client-code,N/A,false,FieldAccessExpr,com.github.victools.jsonschema.module.jackson.JsonSubTypesResolver.SubtypeDefinitionDetails,javaType,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonSubTypesResolver.java,417
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\CustomEnumDefinitionProvider.java,144
CLIENT:client-code,N/A,false,FieldAccessExpr,com.github.victools.jsonschema.module.jackson.JacksonModule,NESTED_ANNOTATION_CHECK,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonUnwrappedDefinitionProvider.java,78
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,contains,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JacksonModule.java,111
com.fasterxml.jackson.core:jackson-databind,2.17.2,true,ClassOrInterfaceType,com.fasterxml.jackson.databind.node.ObjectNode,ObjectNode,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonUnwrappedDefinitionProvider.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JacksonModule.java,192
CLIENT:client-code,N/A,false,FieldAccessExpr,com.github.victools.jsonschema.module.jackson.JacksonModule,objectMapper,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JacksonModule.java,269
com.fasterxml.jackson.core:jackson-annotations,2.17.2,false,ClassOrInterfaceType,com.fasterxml.jackson.annotation.JsonSubTypes,JsonSubTypes,C:\Users\tyin363\Documents\repos\victools__jsonschema-generator\jsonschema-module-jackson\src\main\java\com\github\victools\jsonschema\module\jackson\JsonSubTypesResolver.java,310
