Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\AnnotationBean.java,77
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.ListableBeanFactory,ListableBeanFactory,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\RefererConfigBean.java,82
JDK:java.base,N/A,false,MethodCallExpr,java.lang.reflect.Method,invoke,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\AnnotationBean.java,93
CLIENT:client-code,N/A,false,FieldAccessExpr,com.weibo.api.motan.config.springsupport.BasicRefererConfigBean,beanFactory,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\BasicRefererConfigBean.java,86
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.xml.ParserContext,ParserContext,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\MotanBeanDefinitionParser.java,59
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.weibo.api.motan.config.springsupport.MeshClientConfigBean,MeshClientConfigBean,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\MotanNamespaceHandler.java,46
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.config.BeanDefinition,BeanDefinition,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\MotanBeanDefinitionParser.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\annotation\MotanReferer.java,41
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.BeanFactory,BeanFactory,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\BasicRefererConfigBean.java,63
CLIENT:client-code,N/A,false,MethodCallExpr,com.weibo.api.motan.config.springsupport.MotanBeanDefinitionParser,parseMultiRef,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\MotanBeanDefinitionParser.java,163
CLIENT:client-code,N/A,false,FieldAccessExpr,com.weibo.api.motan.config.springsupport.MotanNamespaceHandler,protocolDefineNames,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\RefererConfigBean.java,133
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.InitializingBean,InitializingBean,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\BasicServiceConfigBean.java,39
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\util\SpringBeanUtil.java,23
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\AnnotationBean.java,504
org.springframework:spring-beans,5.3.20,true,ClassOrInterfaceType,org.springframework.beans.factory.NoSuchBeanDefinitionException,NoSuchBeanDefinitionException,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\ServiceConfigBean.java,125
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\weibocom__motan\motan-springsupport\src\main\java\com\weibo\api\motan\config\springsupport\AnnotationBean.java,550
