Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\ActionShortcutTableCell.java,61
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.willwinder.universalgcodesender.fx.component.visualizer.machine.longmill.parts.XRail,XRail,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\visualizer\machine\longmill\YGantry.java,13
org.openjfx:javafx-base:jar:win:17.0.2,MethodCallExpr,javafx.beans.value.ObservableDoubleValue,get,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\visualizer\Grid.java,51
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.willwinder.universalgcodesender.fx.control.ActionButton,ActionButton,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\helper\SvgLoader.java,29
org.openjfx:javafx-graphics:jar:win:20.0.2,ObjectCreationExpr,javafx.scene.paint.PhongMaterial,PhongMaterial,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\visualizer\Axes.java,21
CLIENT:client-code:N/A:N/A,NameExpr,com.willwinder.universalgcodesender.fx.component.visualizer.GcodeModelMaterial,texture,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\visualizer\GcodeModelMaterial.java,37
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Optional,get,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\ActionShortcutTableCell.java,70
org.openjfx:javafx-controls:jar:win:17.0.2,MethodCallExpr,javafx.scene.control.TableCell,getTableView,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\ActionShortcutTableCell.java,60
CLIENT:client-code:N/A:N/A,NameExpr,com.willwinder.universalgcodesender.fx.stage.ShortcutDialog,shortcutLabel,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\stage\ShortcutDialog.java,55
org.openjfx:javafx-graphics:jar:win:20.0.2,MethodCallExpr,javafx.stage.Stage,setScene,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\stage\SettingsStage.java,46
org.openjfx:javafx-graphics:jar:win:20.0.2,ClassOrInterfaceType,javafx.scene.paint.Color,Color,C:\Users\tyin363\Documents\repos\winder__Universal-G-Code-Sender\ugs-fx\src\main\java\com\willwinder\universalgcodesender\fx\component\visualizer\machine\Colors.java,8
