Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,56
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.qulice.foo.Violations.Foo,Foo,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,48
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.stream.Stream,map,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,83
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,57
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,trim,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,84
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,46
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.stream.Stream,collect,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,83
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,73
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.qulice.foo.Violations.Foo,Foo,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\yegor256__qulice\qulice-maven-plugin\src\it\pmd-violations\src\main\java\com\qulice\foo\Violations.java,18
