Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.tvd12.ezyfoxserver.embedded.EzyEmbeddedRunner.Builder,settings,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedRunner.java,16
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.tvd12.ezyfoxserver.embedded.EzyEmbeddedRunner.Builder,config,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedRunner.java,39
com.tvd12:ezyfox-util:jar:1.2.9,ClassOrInterfaceType,com.tvd12.ezyfox.builder.EzyBuilder,EzyBuilder,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedRunner.java,33
com.tvd12:ezyfox-server-core:jar:1.2.9.1,ClassOrInterfaceType,com.tvd12.ezyfoxserver.config.EzyConfig,EzyConfig,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedRunner.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedServer.java,69
CLIENT:client-code:N/A:N/A,NameExpr,com.tvd12.ezyfoxserver.embedded.EzyEmbeddedRunner,config,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedRunner.java,29
com.tvd12:ezyfox-server-core:jar:1.2.9.1,ClassOrInterfaceType,com.tvd12.ezyfoxserver.setting.EzySettings,EzySettings,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedStarter.java,39
com.tvd12:ezyfox-server-core:jar:1.2.9.1,ClassOrInterfaceType,com.tvd12.ezyfoxserver.setting.EzySettings,EzySettings,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedServer.java,49
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.tvd12.ezyfoxserver.embedded.EzyEmbeddedServer.Builder,Builder,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedServer.java,18
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.tvd12.ezyfoxserver.embedded.EzyEmbeddedServer.Builder,Builder,C:\Users\tyin363\Documents\repos\youngmonkeys__ezyfox-server\ezyfox-server-embedded\src\main\java\com\tvd12\ezyfoxserver\embedded\EzyEmbeddedServer.java,51
