Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collections,emptyMap,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,244
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,418
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,320
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,352
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,475
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Collection,Collection,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,242
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,276
cn.hutool:hutool-all,5.8.39,false,MethodCallExpr,cn.hutool.core.util.ArrayUtil,contains,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,555
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\core\EchoServiceImpl.java,118
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\zuihou__lamp-util\lamp-echo-starter\src\main\java\top\tangyh\basic\echo\manager\CacheLoadKeys.java,81
