Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
org.apache.commons:commons-lang3,True,0.0,0.0,3
org.apache.commons:commons-math3,True,0.0,0.0,1
org.apache.flink:flink-core,True,0.0,0.0,50
org.apache.flink:flink-core-api,True,0.0,0.0,8
org.apache.flink:flink-metrics-core,True,0.0,0.0,7
org.apache.flink:flink-runtime,False,0.0,0.0,100
org.apache.flink:flink-shaded-guava,True,0.0,0.0,3
org.apache.flink:flink-shaded-jackson,True,0.0,0.0,27
org.quartz-scheduler:quartz,False,0.0,0.0,10
org.slf4j:slf4j-api,True,0.0,0.0,6
