Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.alibaba:easyexcel,False,0.0,0.0,18
com.alibaba:fastjson,True,0.0,0.0,6
com.fasterxml.jackson.core:jackson-core,True,0.0,0.0,3
com.fasterxml.jackson.core:jackson-databind,True,0.0,0.0,14
com.google.guava:guava,False,0.0,0.0,40
commons-collections:commons-collections,False,0.0,0.0,3
org.apache.commons:commons-lang3,True,0.0,0.0,8
org.apache.commons:commons-pool2,False,0.21052631578947367,4.0,19
org.apache.rocketmq:rocketmq-auth,True,0.0,0.0,3
org.apache.rocketmq:rocketmq-common,True,0.0,0.0,63
org.apache.rocketmq:rocketmq-remoting,True,0.0,0.0,117
org.apache.rocketmq:rocketmq-srvutil,True,0.0,0.0,2
org.apache.rocketmq:rocketmq-tools,False,0.0,0.0,78
org.apache.tomcat.embed:tomcat-embed-core,True,0.0,0.0,28
org.aspectj:aspectjweaver,False,0.0,0.0,4
org.jooq:joor,False,0.0,0.0,4
org.slf4j:slf4j-api,True,0.0,0.0,6
org.springframework.boot:spring-boot,True,0.0,0.0,6
org.springframework.data:spring-data-commons,False,0.0,0.0,6
org.springframework.security:spring-security-config,True,0.0,0.0,12
org.springframework.security:spring-security-web,True,0.0,0.0,8
org.springframework:spring-beans,True,0.0,0.0,3
org.springframework:spring-core,True,0.0,0.0,4
org.springframework:spring-web,True,0.0,0.0,25
org.springframework:spring-webmvc,True,0.0,0.0,9
org.yaml:snakeyaml,False,0.0,0.0,3
