Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.baomidou:mybatis-plus-core,True,0.0,0.0,23
com.baomidou:mybatis-plus-extension,True,0.0,0.0,3
com.baomidou:mybatis-plus-jsqlparser,True,0.0,0.0,2
com.diboot:diboot-ai-spring-boot-starter,False,0.0,0.0,29
com.diboot:diboot-core,True,0.0,0.0,102
com.diboot:diboot-file-spring-boot-starter,False,0.0,0.0,23
com.diboot:diboot-iam-spring-boot-starter,False,0.0,0.0,165
com.diboot:diboot-notification-spring-boot-starter,False,0.0,0.0,16
com.diboot:diboot-scheduler-spring-boot-starter,False,0.0,0.0,9
com.diboot:diboot-tenant-spring-boot-starter,False,0.0,0.0,11
com.pig4cloud.plugin:captcha-core,False,0.0,0.0,4
com.squareup.okhttp3:okhttp,True,0.0,0.0,1
com.squareup.okhttp3:okhttp-sse,True,0.0,0.0,3
jakarta.servlet:jakarta.servlet-api,True,0.0,0.0,6
org.apache.commons:commons-lang3,True,0.0,0.0,5
org.apache.shiro:shiro-core,True,0.0,0.0,3
org.mybatis:mybatis,True,0.0,0.0,1
org.quartz-scheduler:quartz,True,0.0,0.0,2
org.springframework.boot:spring-boot,True,0.0,0.0,1
org.springframework:spring-context,True,0.0,0.0,1
org.springframework:spring-context-support,True,0.0,0.0,1
org.springframework:spring-web,True,0.0,0.0,6
org.springframework:spring-webmvc,True,0.0,0.0,5
