Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
cn.hutool:hutool-all,False,0.0,0.0,34.0
com.alibaba:druid,True,0.0,0.0,13.0
com.alibaba:druid-spring-boot-starter,False,0.0,0.0,4.0
com.baomidou:mybatis-plus-annotation,True,0.0,1.0,0.0
com.baomidou:mybatis-plus-core,True,0.0,0.0,5.0
com.baomidou:mybatis-plus-extension,True,0.42857142857142855,3.0,7.0
com.baomidou:mybatis-plus-generator,False,0.17391304347826086,4.0,23.0
com.fasterxml.jackson.core:jackson-core,True,0.0,0.0,2.0
com.fasterxml.jackson.core:jackson-databind,True,0.0,0.0,11.0
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,True,0.0,0.0,2.0
com.github.penggle:kaptcha,False,0.0,0.0,9.0
com.google.guava:guava,False,0.0,0.0,23.0
javax.servlet:javax.servlet-api,True,0.0,0.0,1.0
javax.servlet:servlet-api,True,0.0,0.0,20.0
org.apache.commons:commons-collections4,True,0.0,0.0,1.0
org.apache.commons:commons-lang3,True,0.0,0.0,1.0
org.aspectj:aspectjweaver,True,0.0,0.0,11.0
org.mybatis:mybatis,True,0.0,0.0,1.0
org.springframework.boot:spring-boot,True,0.0,0.0,9.0
org.springframework.boot:spring-boot-autoconfigure,True,0.0,0.0,1.0
org.springframework.security:spring-security-crypto,True,0.0,0.0,5.0
org.springframework:spring-aop,True,0.0,0.0,6.0
org.springframework:spring-context,True,0.0,0.0,11.0
org.springframework:spring-core,True,0.0,0.0,5.0
org.springframework:spring-jdbc,True,0.0,0.0,7.0
org.springframework:spring-tx,True,0.0,0.0,16.0
org.springframework:spring-web,True,0.0,0.0,25.0
org.springframework:spring-webmvc,True,0.0,0.0,9.0
