Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.esotericsoftware:kryo,False,0.0,0.0,27
com.github.mwiede:jsch,False,0.0,0.0,24
com.google.guava:guava,True,0.0,0.0,27
commons-cli:commons-cli,False,0.0,0.0,17
commons-codec:commons-codec,False,0.0,0.0,2
commons-io:commons-io,False,0.0,0.0,12
commons-net:commons-net,False,0.0,0.0,12
org.apache.commons:commons-lang3,True,0.0,0.0,4
org.eclipse.jetty:jetty-http,True,0.0,0.0,3
org.eclipse.jetty:jetty-io,True,0.0,0.0,1
org.eclipse.jetty:jetty-proxy,False,0.0,0.0,4
org.eclipse.jetty:jetty-server,True,0.0,0.0,19
org.eclipse.jetty:jetty-util,True,0.0,0.0,9
org.json:json,True,0.0,0.0,17
org.netpreserve.commons:webarchive-commons,False,0.0,0.0,104
org.objenesis:objenesis,True,0.0,0.0,2
org.springframework:spring-beans,False,0.0,0.0,31
org.springframework:spring-context,False,0.0,0.0,25
org.springframework:spring-core,False,0.0,0.0,6
