Library_Name,Is_Transitive,normalised_score,num_bcs,num_unique_symbols
com.fasterxml.jackson.core:jackson-databind,True,0.0,0.0,5
org.aspectj:aspectjweaver,True,0.0,0.0,6
org.springframework.boot:spring-boot,True,0.0,0.0,2
org.springframework.boot:spring-boot-autoconfigure,False,0.0,0.0,11
org.springframework.data:spring-data-commons,True,0.0,0.0,2
org.springframework.data:spring-data-redis,True,0.0,0.0,210
org.springframework:spring-beans,True,0.0,0.0,11
org.springframework:spring-context,True,0.0,0.0,8
org.springframework:spring-context-support,True,0.0,0.0,1
org.springframework:spring-core,True,0.0,0.0,13
org.springframework:spring-expression,True,0.0,0.0,1
